cdmvto_sinc_billeteraIC;cdusuarioIC;femvtoIC;cdnumero_transaccionIC;vrmvtoIC;dsdescripcion_mvtoIC;cdtipo_mvtoIC;cdtipo_ajusteIC;cdorigen_ajusteIC;cdmvto_relacionIC;cdusuario_ingresaIC;feingresaIC;femodificaIC;cdmovimiento_referenciaIC;dsplacaIC;cdpunto_atencionIC;cdtipo_consumoIC;vrajusteIC;cdajusteIC
24117255;36468;2024-11-15;24117255;30439;Prueba performance insertar consumo 11055;0;null;null;25110241;21;2024-11-15;null;null;RTQ843;123;1;null;null
24117256;36468;2024-11-15;24117256;30440;Prueba performance insertar consumo 11056;0;null;null;25110242;21;2024-11-15;null;null;NAJ352;123;1;null;null
24117257;36468;2024-11-15;24117257;30441;Prueba performance insertar consumo 11057;0;null;null;25110243;21;2024-11-15;null;null;AJT124;123;1;null;null
24117258;36468;2024-11-15;24117258;30442;Prueba performance insertar consumo 11058;0;null;null;25110244;21;2024-11-15;null;null;COA721;123;1;null;null
24117259;36468;2024-11-15;24117259;30443;Prueba performance insertar consumo 11059;0;null;null;25110245;21;2024-11-15;null;null;JJV112;123;1;null;null
24117260;36468;2024-11-15;24117260;30444;Prueba performance insertar consumo 11060;0;null;null;25110246;21;2024-11-15;null;null;LED195;123;1;null;null
24117261;36468;2024-11-15;24117261;30445;Prueba performance insertar consumo 11061;0;null;null;25110247;21;2024-11-15;null;null;MIT123;123;1;null;null
24117262;36468;2024-11-15;24117262;30446;Prueba performance insertar consumo 11062;0;null;null;25110248;21;2024-11-15;null;null;QWE000;123;1;null;null
24117263;36468;2024-11-15;24117263;30447;Prueba performance insertar consumo 11063;0;null;null;25110249;21;2024-11-15;null;null;RTQ843;123;1;null;null
24117264;36468;2024-11-15;24117264;30448;Prueba performance insertar consumo 11064;0;null;null;25110250;21;2024-11-15;null;null;NAJ352;123;1;null;null
24117265;36468;2024-11-15;24117265;30449;Prueba performance insertar consumo 11065;0;null;null;25110251;21;2024-11-15;null;null;AJT124;123;1;null;null
24117266;36468;2024-11-15;24117266;30450;Prueba performance insertar consumo 11066;0;null;null;25110252;21;2024-11-15;null;null;COA721;123;1;null;null
24117267;36468;2024-11-15;24117267;30451;Prueba performance insertar consumo 11067;0;null;null;25110253;21;2024-11-15;null;null;JJV112;123;1;null;null
24117268;36468;2024-11-15;24117268;30452;Prueba performance insertar consumo 11068;0;null;null;25110254;21;2024-11-15;null;null;LED195;123;1;null;null
24117269;36468;2024-11-15;24117269;30453;Prueba performance insertar consumo 11069;0;null;null;25110255;21;2024-11-15;null;null;MIT123;123;1;null;null
24117270;36468;2024-11-15;24117270;30454;Prueba performance insertar consumo 11070;0;null;null;25110256;21;2024-11-15;null;null;QWE000;123;1;null;null
24117271;36468;2024-11-15;24117271;30455;Prueba performance insertar consumo 11071;0;null;null;25110257;21;2024-11-15;null;null;RTQ843;123;1;null;null
24117272;36468;2024-11-15;24117272;30456;Prueba performance insertar consumo 11072;0;null;null;25110258;21;2024-11-15;null;null;NAJ352;123;1;null;null
24117273;36468;2024-11-15;24117273;30457;Prueba performance insertar consumo 11073;0;null;null;25110259;21;2024-11-15;null;null;AJT124;123;1;null;null
24117274;36468;2024-11-15;24117274;30458;Prueba performance insertar consumo 11074;0;null;null;25110260;21;2024-11-15;null;null;COA721;123;1;null;null
24117275;36468;2024-11-15;24117275;30459;Prueba performance insertar consumo 11075;0;null;null;25110261;21;2024-11-15;null;null;JJV112;123;1;null;null
24117276;36468;2024-11-15;24117276;30460;Prueba performance insertar consumo 11076;0;null;null;25110262;21;2024-11-15;null;null;LED195;123;1;null;null
24117277;36468;2024-11-15;24117277;30461;Prueba performance insertar consumo 11077;0;null;null;25110263;21;2024-11-15;null;null;MIT123;123;1;null;null
24117278;36468;2024-11-15;24117278;30462;Prueba performance insertar consumo 11078;0;null;null;25110264;21;2024-11-15;null;null;QWE000;123;1;null;null
24117279;36468;2024-11-15;24117279;30463;Prueba performance insertar consumo 11079;0;null;null;25110265;21;2024-11-15;null;null;RTQ843;123;1;null;null
24117280;36468;2024-11-15;24117280;30464;Prueba performance insertar consumo 11080;0;null;null;25110266;21;2024-11-15;null;null;NAJ352;123;1;null;null
24117281;36468;2024-11-15;24117281;30465;Prueba performance insertar consumo 11081;0;null;null;25110267;21;2024-11-15;null;null;AJT124;123;1;null;null
24117282;36468;2024-11-15;24117282;30466;Prueba performance insertar consumo 11082;0;null;null;25110268;21;2024-11-15;null;null;COA721;123;1;null;null
24117283;36468;2024-11-15;24117283;30467;Prueba performance insertar consumo 11083;0;null;null;25110269;21;2024-11-15;null;null;JJV112;123;1;null;null
24117284;36468;2024-11-15;24117284;30468;Prueba performance insertar consumo 11084;0;null;null;25110270;21;2024-11-15;null;null;LED195;123;1;null;null
24117285;36468;2024-11-15;24117285;30469;Prueba performance insertar consumo 11085;0;null;null;25110271;21;2024-11-15;null;null;MIT123;123;1;null;null
24117286;36468;2024-11-15;24117286;30470;Prueba performance insertar consumo 11086;0;null;null;25110272;21;2024-11-15;null;null;QWE000;123;1;null;null
24117287;36468;2024-11-15;24117287;30471;Prueba performance insertar consumo 11087;0;null;null;25110273;21;2024-11-15;null;null;RTQ843;123;1;null;null
24117288;36468;2024-11-15;24117288;30472;Prueba performance insertar consumo 11088;0;null;null;25110274;21;2024-11-15;null;null;NAJ352;123;1;null;null
24117289;36468;2024-11-15;24117289;30473;Prueba performance insertar consumo 11089;0;null;null;25110275;21;2024-11-15;null;null;AJT124;123;1;null;null
24117290;36468;2024-11-15;24117290;30474;Prueba performance insertar consumo 11090;0;null;null;25110276;21;2024-11-15;null;null;COA721;123;1;null;null
24117291;36468;2024-11-15;24117291;30475;Prueba performance insertar consumo 11091;0;null;null;25110277;21;2024-11-15;null;null;JJV112;123;1;null;null
24117292;36468;2024-11-15;24117292;30476;Prueba performance insertar consumo 11092;0;null;null;25110278;21;2024-11-15;null;null;LED195;123;1;null;null
24117293;36468;2024-11-15;24117293;30477;Prueba performance insertar consumo 11093;0;null;null;25110279;21;2024-11-15;null;null;MIT123;123;1;null;null
24117294;36468;2024-11-15;24117294;30478;Prueba performance insertar consumo 11094;0;null;null;25110280;21;2024-11-15;null;null;QWE000;123;1;null;null
24117295;36468;2024-11-15;24117295;30479;Prueba performance insertar consumo 11095;0;null;null;25110281;21;2024-11-15;null;null;RTQ843;123;1;null;null
24117296;36468;2024-11-15;24117296;30480;Prueba performance insertar consumo 11096;0;null;null;25110282;21;2024-11-15;null;null;NAJ352;123;1;null;null
24117297;36468;2024-11-15;24117297;30481;Prueba performance insertar consumo 11097;0;null;null;25110283;21;2024-11-15;null;null;AJT124;123;1;null;null
24117298;36468;2024-11-15;24117298;30482;Prueba performance insertar consumo 11098;0;null;null;25110284;21;2024-11-15;null;null;COA721;123;1;null;null
24117299;36468;2024-11-15;24117299;30483;Prueba performance insertar consumo 11099;0;null;null;25110285;21;2024-11-15;null;null;JJV112;123;1;null;null
24117300;36468;2024-11-15;24117300;30484;Prueba performance insertar consumo 11100;0;null;null;25110286;21;2024-11-15;null;null;LED195;123;1;null;null
24117301;36468;2024-11-15;24117301;30485;Prueba performance insertar consumo 11101;0;null;null;25110287;21;2024-11-15;null;null;MIT123;123;1;null;null
24117302;36468;2024-11-15;24117302;30486;Prueba performance insertar consumo 11102;0;null;null;25110288;21;2024-11-15;null;null;QWE000;123;1;null;null
24117303;36468;2024-11-15;24117303;30487;Prueba performance insertar consumo 11103;0;null;null;25110289;21;2024-11-15;null;null;RTQ843;123;1;null;null
24117304;36468;2024-11-15;24117304;30488;Prueba performance insertar consumo 11104;0;null;null;25110290;21;2024-11-15;null;null;NAJ352;123;1;null;null
24117305;36468;2024-11-15;24117305;30489;Prueba performance insertar consumo 11105;0;null;null;25110291;21;2024-11-15;null;null;AJT124;123;1;null;null
24117306;36468;2024-11-15;24117306;30490;Prueba performance insertar consumo 11106;0;null;null;25110292;21;2024-11-15;null;null;COA721;123;1;null;null
24117307;36468;2024-11-15;24117307;30491;Prueba performance insertar consumo 11107;0;null;null;25110293;21;2024-11-15;null;null;JJV112;123;1;null;null
24117308;36468;2024-11-15;24117308;30492;Prueba performance insertar consumo 11108;0;null;null;25110294;21;2024-11-15;null;null;LED195;123;1;null;null
24117309;36468;2024-11-15;24117309;30493;Prueba performance insertar consumo 11109;0;null;null;25110295;21;2024-11-15;null;null;MIT123;123;1;null;null
24117310;36468;2024-11-15;24117310;30494;Prueba performance insertar consumo 11110;0;null;null;25110296;21;2024-11-15;null;null;QWE000;123;1;null;null
24117311;36468;2024-11-15;24117311;30495;Prueba performance insertar consumo 11111;0;null;null;25110297;21;2024-11-15;null;null;RTQ843;123;1;null;null
24117312;36468;2024-11-15;24117312;30496;Prueba performance insertar consumo 11112;0;null;null;25110298;21;2024-11-15;null;null;NAJ352;123;1;null;null
24117313;36468;2024-11-15;24117313;30497;Prueba performance insertar consumo 11113;0;null;null;25110299;21;2024-11-15;null;null;AJT124;123;1;null;null
24117314;36468;2024-11-15;24117314;30498;Prueba performance insertar consumo 11114;0;null;null;25110300;21;2024-11-15;null;null;COA721;123;1;null;null
24117315;36468;2024-11-15;24117315;30499;Prueba performance insertar consumo 11115;0;null;null;25110301;21;2024-11-15;null;null;JJV112;123;1;null;null
24117316;36468;2024-11-15;24117316;30500;Prueba performance insertar consumo 11116;0;null;null;25110302;21;2024-11-15;null;null;LED195;123;1;null;null
24117317;36468;2024-11-15;24117317;30501;Prueba performance insertar consumo 11117;0;null;null;25110303;21;2024-11-15;null;null;MIT123;123;1;null;null
24117318;36468;2024-11-15;24117318;30502;Prueba performance insertar consumo 11118;0;null;null;25110304;21;2024-11-15;null;null;QWE000;123;1;null;null
24117319;36468;2024-11-15;24117319;30503;Prueba performance insertar consumo 11119;0;null;null;25110305;21;2024-11-15;null;null;RTQ843;123;1;null;null
24117320;36468;2024-11-15;24117320;30504;Prueba performance insertar consumo 11120;0;null;null;25110306;21;2024-11-15;null;null;NAJ352;123;1;null;null
24117321;36468;2024-11-15;24117321;30505;Prueba performance insertar consumo 11121;0;null;null;25110307;21;2024-11-15;null;null;AJT124;123;1;null;null
24117322;36468;2024-11-15;24117322;30506;Prueba performance insertar consumo 11122;0;null;null;25110308;21;2024-11-15;null;null;COA721;123;1;null;null
24117323;36468;2024-11-15;24117323;30507;Prueba performance insertar consumo 11123;0;null;null;25110309;21;2024-11-15;null;null;JJV112;123;1;null;null
24117324;36468;2024-11-15;24117324;30508;Prueba performance insertar consumo 11124;0;null;null;25110310;21;2024-11-15;null;null;LED195;123;1;null;null
24117325;36468;2024-11-15;24117325;30509;Prueba performance insertar consumo 11125;0;null;null;25110311;21;2024-11-15;null;null;MIT123;123;1;null;null
24117326;36468;2024-11-15;24117326;30510;Prueba performance insertar consumo 11126;0;null;null;25110312;21;2024-11-15;null;null;QWE000;123;1;null;null
24117327;36468;2024-11-15;24117327;30511;Prueba performance insertar consumo 11127;0;null;null;25110313;21;2024-11-15;null;null;RTQ843;123;1;null;null
24117328;36468;2024-11-15;24117328;30512;Prueba performance insertar consumo 11128;0;null;null;25110314;21;2024-11-15;null;null;NAJ352;123;1;null;null
24117329;36468;2024-11-15;24117329;30513;Prueba performance insertar consumo 11129;0;null;null;25110315;21;2024-11-15;null;null;AJT124;123;1;null;null
24117330;36468;2024-11-15;24117330;30514;Prueba performance insertar consumo 11130;0;null;null;25110316;21;2024-11-15;null;null;COA721;123;1;null;null
24117331;36468;2024-11-15;24117331;30515;Prueba performance insertar consumo 11131;0;null;null;25110317;21;2024-11-15;null;null;JJV112;123;1;null;null
24117332;36468;2024-11-15;24117332;30516;Prueba performance insertar consumo 11132;0;null;null;25110318;21;2024-11-15;null;null;LED195;123;1;null;null
24117333;36468;2024-11-15;24117333;30517;Prueba performance insertar consumo 11133;0;null;null;25110319;21;2024-11-15;null;null;MIT123;123;1;null;null
24117334;36468;2024-11-15;24117334;30518;Prueba performance insertar consumo 11134;0;null;null;25110320;21;2024-11-15;null;null;QWE000;123;1;null;null
24117335;36468;2024-11-15;24117335;30519;Prueba performance insertar consumo 11135;0;null;null;25110321;21;2024-11-15;null;null;RTQ843;123;1;null;null
24117336;36468;2024-11-15;24117336;30520;Prueba performance insertar consumo 11136;0;null;null;25110322;21;2024-11-15;null;null;NAJ352;123;1;null;null
24117337;36468;2024-11-15;24117337;30521;Prueba performance insertar consumo 11137;0;null;null;25110323;21;2024-11-15;null;null;AJT124;123;1;null;null
24117338;36468;2024-11-15;24117338;30522;Prueba performance insertar consumo 11138;0;null;null;25110324;21;2024-11-15;null;null;COA721;123;1;null;null
24117339;36468;2024-11-15;24117339;30523;Prueba performance insertar consumo 11139;0;null;null;25110325;21;2024-11-15;null;null;JJV112;123;1;null;null
24117340;36468;2024-11-15;24117340;30524;Prueba performance insertar consumo 11140;0;null;null;25110326;21;2024-11-15;null;null;LED195;123;1;null;null
24117341;36468;2024-11-15;24117341;30525;Prueba performance insertar consumo 11141;0;null;null;25110327;21;2024-11-15;null;null;MIT123;123;1;null;null
24117342;36468;2024-11-15;24117342;30526;Prueba performance insertar consumo 11142;0;null;null;25110328;21;2024-11-15;null;null;QWE000;123;1;null;null
24117343;36468;2024-11-15;24117343;30527;Prueba performance insertar consumo 11143;0;null;null;25110329;21;2024-11-15;null;null;RTQ843;123;1;null;null
24117344;36468;2024-11-15;24117344;30528;Prueba performance insertar consumo 11144;0;null;null;25110330;21;2024-11-15;null;null;NAJ352;123;1;null;null
24117345;36468;2024-11-15;24117345;30529;Prueba performance insertar consumo 11145;0;null;null;25110331;21;2024-11-15;null;null;AJT124;123;1;null;null
24117346;36468;2024-11-15;24117346;30530;Prueba performance insertar consumo 11146;0;null;null;25110332;21;2024-11-15;null;null;COA721;123;1;null;null
24117347;36468;2024-11-15;24117347;30531;Prueba performance insertar consumo 11147;0;null;null;25110333;21;2024-11-15;null;null;JJV112;123;1;null;null
24117348;36468;2024-11-15;24117348;30532;Prueba performance insertar consumo 11148;0;null;null;25110334;21;2024-11-15;null;null;LED195;123;1;null;null
24117349;36468;2024-11-15;24117349;30533;Prueba performance insertar consumo 11149;0;null;null;25110335;21;2024-11-15;null;null;MIT123;123;1;null;null
24117350;36468;2024-11-15;24117350;30534;Prueba performance insertar consumo 11150;0;null;null;25110336;21;2024-11-15;null;null;QWE000;123;1;null;null
24117351;36468;2024-11-15;24117351;30535;Prueba performance insertar consumo 11151;0;null;null;25110337;21;2024-11-15;null;null;RTQ843;123;1;null;null
24117352;36468;2024-11-15;24117352;30536;Prueba performance insertar consumo 11152;0;null;null;25110338;21;2024-11-15;null;null;NAJ352;123;1;null;null
24117353;36468;2024-11-15;24117353;30537;Prueba performance insertar consumo 11153;0;null;null;25110339;21;2024-11-15;null;null;AJT124;123;1;null;null
24117354;36468;2024-11-15;24117354;30538;Prueba performance insertar consumo 11154;0;null;null;25110340;21;2024-11-15;null;null;COA721;123;1;null;null
24117355;36468;2024-11-15;24117355;30539;Prueba performance insertar consumo 11155;0;null;null;25110341;21;2024-11-15;null;null;JJV112;123;1;null;null
24117356;36468;2024-11-15;24117356;30540;Prueba performance insertar consumo 11156;0;null;null;25110342;21;2024-11-15;null;null;LED195;123;1;null;null
24117357;36468;2024-11-15;24117357;30541;Prueba performance insertar consumo 11157;0;null;null;25110343;21;2024-11-15;null;null;MIT123;123;1;null;null
24117358;36468;2024-11-15;24117358;30542;Prueba performance insertar consumo 11158;0;null;null;25110344;21;2024-11-15;null;null;QWE000;123;1;null;null
24117359;36468;2024-11-15;24117359;30543;Prueba performance insertar consumo 11159;0;null;null;25110345;21;2024-11-15;null;null;RTQ843;123;1;null;null
24117360;36468;2024-11-15;24117360;30544;Prueba performance insertar consumo 11160;0;null;null;25110346;21;2024-11-15;null;null;NAJ352;123;1;null;null
24117361;36468;2024-11-15;24117361;30545;Prueba performance insertar consumo 11161;0;null;null;25110347;21;2024-11-15;null;null;AJT124;123;1;null;null
24117362;36468;2024-11-15;24117362;30546;Prueba performance insertar consumo 11162;0;null;null;25110348;21;2024-11-15;null;null;COA721;123;1;null;null
24117363;36468;2024-11-15;24117363;30547;Prueba performance insertar consumo 11163;0;null;null;25110349;21;2024-11-15;null;null;JJV112;123;1;null;null
24117364;36468;2024-11-15;24117364;30548;Prueba performance insertar consumo 11164;0;null;null;25110350;21;2024-11-15;null;null;LED195;123;1;null;null
24117365;36468;2024-11-15;24117365;30549;Prueba performance insertar consumo 11165;0;null;null;25110351;21;2024-11-15;null;null;MIT123;123;1;null;null
24117366;36468;2024-11-15;24117366;30550;Prueba performance insertar consumo 11166;0;null;null;25110352;21;2024-11-15;null;null;QWE000;123;1;null;null
24117367;36468;2024-11-15;24117367;30551;Prueba performance insertar consumo 11167;0;null;null;25110353;21;2024-11-15;null;null;RTQ843;123;1;null;null
24117368;36468;2024-11-15;24117368;30552;Prueba performance insertar consumo 11168;0;null;null;25110354;21;2024-11-15;null;null;NAJ352;123;1;null;null
24117369;36468;2024-11-15;24117369;30553;Prueba performance insertar consumo 11169;0;null;null;25110355;21;2024-11-15;null;null;AJT124;123;1;null;null
24117370;36468;2024-11-15;24117370;30554;Prueba performance insertar consumo 11170;0;null;null;25110356;21;2024-11-15;null;null;COA721;123;1;null;null
24117371;36468;2024-11-15;24117371;30555;Prueba performance insertar consumo 11171;0;null;null;25110357;21;2024-11-15;null;null;JJV112;123;1;null;null
24117372;36468;2024-11-15;24117372;30556;Prueba performance insertar consumo 11172;0;null;null;25110358;21;2024-11-15;null;null;LED195;123;1;null;null
24117373;36468;2024-11-15;24117373;30557;Prueba performance insertar consumo 11173;0;null;null;25110359;21;2024-11-15;null;null;MIT123;123;1;null;null
24117374;36468;2024-11-15;24117374;30558;Prueba performance insertar consumo 11174;0;null;null;25110360;21;2024-11-15;null;null;QWE000;123;1;null;null
24117375;36468;2024-11-15;24117375;30559;Prueba performance insertar consumo 11175;0;null;null;25110361;21;2024-11-15;null;null;RTQ843;123;1;null;null
24117376;36468;2024-11-15;24117376;30560;Prueba performance insertar consumo 11176;0;null;null;25110362;21;2024-11-15;null;null;NAJ352;123;1;null;null
24117377;36468;2024-11-15;24117377;30561;Prueba performance insertar consumo 11177;0;null;null;25110363;21;2024-11-15;null;null;AJT124;123;1;null;null
24117378;36468;2024-11-15;24117378;30562;Prueba performance insertar consumo 11178;0;null;null;25110364;21;2024-11-15;null;null;COA721;123;1;null;null
24117379;36468;2024-11-15;24117379;30563;Prueba performance insertar consumo 11179;0;null;null;25110365;21;2024-11-15;null;null;JJV112;123;1;null;null
24117380;36468;2024-11-15;24117380;30564;Prueba performance insertar consumo 11180;0;null;null;25110366;21;2024-11-15;null;null;LED195;123;1;null;null
24117381;36468;2024-11-15;24117381;30565;Prueba performance insertar consumo 11181;0;null;null;25110367;21;2024-11-15;null;null;MIT123;123;1;null;null
24117382;36468;2024-11-15;24117382;30566;Prueba performance insertar consumo 11182;0;null;null;25110368;21;2024-11-15;null;null;QWE000;123;1;null;null
24117383;36468;2024-11-15;24117383;30567;Prueba performance insertar consumo 11183;0;null;null;25110369;21;2024-11-15;null;null;RTQ843;123;1;null;null
24117384;36468;2024-11-15;24117384;30568;Prueba performance insertar consumo 11184;0;null;null;25110370;21;2024-11-15;null;null;NAJ352;123;1;null;null
