cdmvto_sinc_billeteraICO;cdusuarioICO;femvtoICO;cdnumero_transaccionICO;vrmvtoICO;dsdescripcion_mvtoICO;cdtipo_mvtoICO;cdtipo_ajusteICO;cdorigen_ajusteICO;cdmvto_relacionICO;cdusuario_ingresaICO;feingresaICO;femodificaICO;cdmovimiento_referenciaICO;dsplacaICO;cdpunto_atencionICO;cdtipo_consumoICO;vrajusteICO;cdajusteICO
7119871;39996;2024-11-15;7119871;30360;Prueba performance insertar comision 11049;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119872;39906;2024-11-15;7119872;30361;Prueba performance insertar comision 11050;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119873;39960;2024-11-15;7119873;30362;Prueba performance insertar comision 11051;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119874;39961;2024-11-15;7119874;30363;Prueba performance insertar comision 11052;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119875;39962;2024-11-15;7119875;30364;Prueba performance insertar comision 11053;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119876;39763;2024-11-15;7119876;30365;Prueba performance insertar comision 11054;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119877;39996;2024-11-15;7119877;30366;Prueba performance insertar comision 11055;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119878;39906;2024-11-15;7119878;30367;Prueba performance insertar comision 11056;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119879;39960;2024-11-15;7119879;30368;Prueba performance insertar comision 11057;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119880;39961;2024-11-15;7119880;30369;Prueba performance insertar comision 11058;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119881;39962;2024-11-15;7119881;30370;Prueba performance insertar comision 11059;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119882;39763;2024-11-15;7119882;30371;Prueba performance insertar comision 11060;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119883;39996;2024-11-15;7119883;30372;Prueba performance insertar comision 11061;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119884;39906;2024-11-15;7119884;30373;Prueba performance insertar comision 11062;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119885;39960;2024-11-15;7119885;30374;Prueba performance insertar comision 11063;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119886;39961;2024-11-15;7119886;30375;Prueba performance insertar comision 11064;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119887;39962;2024-11-15;7119887;30376;Prueba performance insertar comision 11065;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119888;39763;2024-11-15;7119888;30377;Prueba performance insertar comision 11066;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119889;39996;2024-11-15;7119889;30378;Prueba performance insertar comision 11067;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119890;39906;2024-11-15;7119890;30379;Prueba performance insertar comision 11068;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119891;39960;2024-11-15;7119891;30380;Prueba performance insertar comision 11069;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119892;39961;2024-11-15;7119892;30381;Prueba performance insertar comision 11070;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119893;39962;2024-11-15;7119893;30382;Prueba performance insertar comision 11071;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119894;39763;2024-11-15;7119894;30383;Prueba performance insertar comision 11072;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119895;39996;2024-11-15;7119895;30384;Prueba performance insertar comision 11073;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119896;39906;2024-11-15;7119896;30385;Prueba performance insertar comision 11074;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119897;39960;2024-11-15;7119897;30386;Prueba performance insertar comision 11075;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119898;39961;2024-11-15;7119898;30387;Prueba performance insertar comision 11076;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119899;39962;2024-11-15;7119899;30388;Prueba performance insertar comision 11077;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119900;39763;2024-11-15;7119900;30389;Prueba performance insertar comision 11078;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119901;39996;2024-11-15;7119901;30390;Prueba performance insertar comision 11079;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119902;39906;2024-11-15;7119902;30391;Prueba performance insertar comision 11080;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119903;39960;2024-11-15;7119903;30392;Prueba performance insertar comision 11081;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119904;39961;2024-11-15;7119904;30393;Prueba performance insertar comision 11082;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119905;39962;2024-11-15;7119905;30394;Prueba performance insertar comision 11083;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119906;39763;2024-11-15;7119906;30395;Prueba performance insertar comision 11084;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119907;39996;2024-11-15;7119907;30396;Prueba performance insertar comision 11085;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119908;39906;2024-11-15;7119908;30397;Prueba performance insertar comision 11086;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119909;39960;2024-11-15;7119909;30398;Prueba performance insertar comision 11087;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119910;39961;2024-11-15;7119910;30399;Prueba performance insertar comision 11088;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119911;39962;2024-11-15;7119911;30400;Prueba performance insertar comision 11089;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119912;39763;2024-11-15;7119912;30401;Prueba performance insertar comision 11090;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119913;39996;2024-11-15;7119913;30402;Prueba performance insertar comision 11091;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119914;39906;2024-11-15;7119914;30403;Prueba performance insertar comision 11092;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119915;39960;2024-11-15;7119915;30404;Prueba performance insertar comision 11093;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119916;39961;2024-11-15;7119916;30405;Prueba performance insertar comision 11094;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119917;39962;2024-11-15;7119917;30406;Prueba performance insertar comision 11095;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119918;39763;2024-11-15;7119918;30407;Prueba performance insertar comision 11096;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119919;39996;2024-11-15;7119919;30408;Prueba performance insertar comision 11097;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119920;39906;2024-11-15;7119920;30409;Prueba performance insertar comision 11098;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119921;39960;2024-11-15;7119921;30410;Prueba performance insertar comision 11099;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119922;39961;2024-11-15;7119922;30411;Prueba performance insertar comision 11100;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119923;39962;2024-11-15;7119923;30412;Prueba performance insertar comision 11101;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119924;39763;2024-11-15;7119924;30413;Prueba performance insertar comision 11102;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119925;39996;2024-11-15;7119925;30414;Prueba performance insertar comision 11103;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119926;39906;2024-11-15;7119926;30415;Prueba performance insertar comision 11104;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119927;39960;2024-11-15;7119927;30416;Prueba performance insertar comision 11105;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119928;39961;2024-11-15;7119928;30417;Prueba performance insertar comision 11106;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119929;39962;2024-11-15;7119929;30418;Prueba performance insertar comision 11107;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119930;39763;2024-11-15;7119930;30419;Prueba performance insertar comision 11108;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119931;39996;2024-11-15;7119931;30420;Prueba performance insertar comision 11109;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119932;39906;2024-11-15;7119932;30421;Prueba performance insertar comision 11110;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119933;39960;2024-11-15;7119933;30422;Prueba performance insertar comision 11111;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119934;39961;2024-11-15;7119934;30423;Prueba performance insertar comision 11112;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119935;39962;2024-11-15;7119935;30424;Prueba performance insertar comision 11113;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119936;39763;2024-11-15;7119936;30425;Prueba performance insertar comision 11114;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119937;39996;2024-11-15;7119937;30426;Prueba performance insertar comision 11115;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119938;39906;2024-11-15;7119938;30427;Prueba performance insertar comision 11116;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119939;39960;2024-11-15;7119939;30428;Prueba performance insertar comision 11117;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119940;39961;2024-11-15;7119940;30429;Prueba performance insertar comision 11118;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119941;39962;2024-11-15;7119941;30430;Prueba performance insertar comision 11119;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119942;39763;2024-11-15;7119942;30431;Prueba performance insertar comision 11120;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119943;39996;2024-11-15;7119943;30432;Prueba performance insertar comision 11121;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119944;39906;2024-11-15;7119944;30433;Prueba performance insertar comision 11122;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119945;39960;2024-11-15;7119945;30434;Prueba performance insertar comision 11123;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119946;39961;2024-11-15;7119946;30435;Prueba performance insertar comision 11124;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119947;39962;2024-11-15;7119947;30436;Prueba performance insertar comision 11125;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119948;39763;2024-11-15;7119948;30437;Prueba performance insertar comision 11126;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119949;39996;2024-11-15;7119949;30438;Prueba performance insertar comision 11127;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119950;39906;2024-11-15;7119950;30439;Prueba performance insertar comision 11128;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119951;39960;2024-11-15;7119951;30440;Prueba performance insertar comision 11129;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119952;39961;2024-11-15;7119952;30441;Prueba performance insertar comision 11130;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119953;39962;2024-11-15;7119953;30442;Prueba performance insertar comision 11131;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119954;39763;2024-11-15;7119954;30443;Prueba performance insertar comision 11132;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119955;39996;2024-11-15;7119955;30444;Prueba performance insertar comision 11133;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119956;39906;2024-11-15;7119956;30445;Prueba performance insertar comision 11134;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119957;39960;2024-11-15;7119957;30446;Prueba performance insertar comision 11135;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119958;39961;2024-11-15;7119958;30447;Prueba performance insertar comision 11136;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119959;39962;2024-11-15;7119959;30448;Prueba performance insertar comision 11137;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119960;39763;2024-11-15;7119960;30449;Prueba performance insertar comision 11138;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119961;39996;2024-11-15;7119961;30450;Prueba performance insertar comision 11139;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119962;39906;2024-11-15;7119962;30451;Prueba performance insertar comision 11140;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119963;39960;2024-11-15;7119963;30452;Prueba performance insertar comision 11141;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119964;39961;2024-11-15;7119964;30453;Prueba performance insertar comision 11142;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119965;39962;2024-11-15;7119965;30454;Prueba performance insertar comision 11143;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119966;39763;2024-11-15;7119966;30455;Prueba performance insertar comision 11144;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119967;39996;2024-11-15;7119967;30456;Prueba performance insertar comision 11145;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119968;39906;2024-11-15;7119968;30457;Prueba performance insertar comision 11146;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119969;39960;2024-11-15;7119969;30458;Prueba performance insertar comision 11147;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119970;39961;2024-11-15;7119970;30459;Prueba performance insertar comision 11148;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119971;39962;2024-11-15;7119971;30460;Prueba performance insertar comision 11149;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119972;39763;2024-11-15;7119972;30461;Prueba performance insertar comision 11150;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119973;39996;2024-11-15;7119973;30462;Prueba performance insertar comision 11151;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119974;39906;2024-11-15;7119974;30463;Prueba performance insertar comision 11152;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119975;39960;2024-11-15;7119975;30464;Prueba performance insertar comision 11153;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119976;39961;2024-11-15;7119976;30465;Prueba performance insertar comision 11154;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119977;39962;2024-11-15;7119977;30466;Prueba performance insertar comision 11155;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119978;39763;2024-11-15;7119978;30467;Prueba performance insertar comision 11156;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119979;39996;2024-11-15;7119979;30468;Prueba performance insertar comision 11157;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119980;39906;2024-11-15;7119980;30469;Prueba performance insertar comision 11158;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119981;39960;2024-11-15;7119981;30470;Prueba performance insertar comision 11159;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119982;39961;2024-11-15;7119982;30471;Prueba performance insertar comision 11160;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119983;39962;2024-11-15;7119983;30472;Prueba performance insertar comision 11161;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119984;39763;2024-11-15;7119984;30473;Prueba performance insertar comision 11162;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119985;39996;2024-11-15;7119985;30474;Prueba performance insertar comision 11163;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119986;39906;2024-11-15;7119986;30475;Prueba performance insertar comision 11164;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119987;39960;2024-11-15;7119987;30476;Prueba performance insertar comision 11165;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119988;39961;2024-11-15;7119988;30477;Prueba performance insertar comision 11166;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119989;39962;2024-11-15;7119989;30478;Prueba performance insertar comision 11167;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119990;39763;2024-11-15;7119990;30479;Prueba performance insertar comision 11168;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119991;39996;2024-11-15;7119991;30480;Prueba performance insertar comision 11169;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119992;39906;2024-11-15;7119992;30481;Prueba performance insertar comision 11170;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119993;39960;2024-11-15;7119993;30482;Prueba performance insertar comision 11171;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119994;39961;2024-11-15;7119994;30483;Prueba performance insertar comision 11172;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119995;39962;2024-11-15;7119995;30484;Prueba performance insertar comision 11173;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119996;39763;2024-11-15;7119996;30485;Prueba performance insertar comision 11174;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119997;39996;2024-11-15;7119997;30486;Prueba performance insertar comision 11175;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119998;39906;2024-11-15;7119998;30487;Prueba performance insertar comision 11176;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7119999;39960;2024-11-15;7119999;30488;Prueba performance insertar comision 11177;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120000;39961;2024-11-15;7120000;30489;Prueba performance insertar comision 11178;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120001;39962;2024-11-15;7120001;30490;Prueba performance insertar comision 11179;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120002;39763;2024-11-15;7120002;30491;Prueba performance insertar comision 11180;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120003;39996;2024-11-15;7120003;30492;Prueba performance insertar comision 11181;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120004;39906;2024-11-15;7120004;30493;Prueba performance insertar comision 11182;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120005;39960;2024-11-15;7120005;30494;Prueba performance insertar comision 11183;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120006;39961;2024-11-15;7120006;30495;Prueba performance insertar comision 11184;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120007;39962;2024-11-15;7120007;30496;Prueba performance insertar comision 11185;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120008;39763;2024-11-15;7120008;30497;Prueba performance insertar comision 11186;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120009;39996;2024-11-15;7120009;30498;Prueba performance insertar comision 11187;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120010;39906;2024-11-15;7120010;30499;Prueba performance insertar comision 11188;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120011;39960;2024-11-15;7120011;30500;Prueba performance insertar comision 11189;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120012;39961;2024-11-15;7120012;30501;Prueba performance insertar comision 11190;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120013;39962;2024-11-15;7120013;30502;Prueba performance insertar comision 11191;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120014;39763;2024-11-15;7120014;30503;Prueba performance insertar comision 11192;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120015;39996;2024-11-15;7120015;30504;Prueba performance insertar comision 11193;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120016;39906;2024-11-15;7120016;30505;Prueba performance insertar comision 11194;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120017;39960;2024-11-15;7120017;30506;Prueba performance insertar comision 11195;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120018;39961;2024-11-15;7120018;30507;Prueba performance insertar comision 11196;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120019;39962;2024-11-15;7120019;30508;Prueba performance insertar comision 11197;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120020;39763;2024-11-15;7120020;30509;Prueba performance insertar comision 11198;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120021;39996;2024-11-15;7120021;30510;Prueba performance insertar comision 11199;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120022;39906;2024-11-15;7120022;30511;Prueba performance insertar comision 11200;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
7120023;39960;2024-11-15;7120023;30512;Prueba performance insertar comision 11201;3;null;null;2;21;2024-11-15;null;0;null;null;null;null;null
