cdmvto_sinc_billeteraIACO;cdusuarioIACO;femvtoIACO;cdnumero_transaccionIACO;vrmvtoIACO;dsdescripcion_mvtoIACO;cdtipo_mvtoIACO;cdtipo_ajusteIACO;cdorigen_ajusteIACO;cdmvto_relacionIACO;cdusuario_ingresaIACO;feingresaIACO;femodificaIACO;cdmovimiento_referenciaIACO;dsplacaIACO;cdpunto_atencionIACO;cdtipo_consumoIACO;vrajusteIACO;cdajusteIACO
27079546;39766;2024-11-15;27079546;30341;Prueba performance insertar ajuste de comision 11026;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079547;39996;2024-11-15;27079547;30342;Prueba performance insertar ajuste de comision 11027;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079548;39906;2024-11-15;27079548;30343;Prueba performance insertar ajuste de comision 11028;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079549;39960;2024-11-15;27079549;30344;Prueba performance insertar ajuste de comision 11029;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079550;39961;2024-11-15;27079550;30345;Prueba performance insertar ajuste de comision 11030;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079551;39962;2024-11-15;27079551;30346;Prueba performance insertar ajuste de comision 11031;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079552;39763;2024-11-15;27079552;30347;Prueba performance insertar ajuste de comision 11032;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079553;39764;2024-11-15;27079553;30348;Prueba performance insertar ajuste de comision 11033;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079554;39765;2024-11-15;27079554;30349;Prueba performance insertar ajuste de comision 11034;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079555;39766;2024-11-15;27079555;30350;Prueba performance insertar ajuste de comision 11035;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079556;39996;2024-11-15;27079556;30351;Prueba performance insertar ajuste de comision 11036;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079557;39906;2024-11-15;27079557;30352;Prueba performance insertar ajuste de comision 11037;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079558;39960;2024-11-15;27079558;30353;Prueba performance insertar ajuste de comision 11038;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079559;39961;2024-11-15;27079559;30354;Prueba performance insertar ajuste de comision 11039;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079560;39962;2024-11-15;27079560;30355;Prueba performance insertar ajuste de comision 11040;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079561;39763;2024-11-15;27079561;30356;Prueba performance insertar ajuste de comision 11041;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079562;39764;2024-11-15;27079562;30357;Prueba performance insertar ajuste de comision 11042;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079563;39765;2024-11-15;27079563;30358;Prueba performance insertar ajuste de comision 11043;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079564;39766;2024-11-15;27079564;30359;Prueba performance insertar ajuste de comision 11044;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079565;39996;2024-11-15;27079565;30360;Prueba performance insertar ajuste de comision 11045;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079566;39906;2024-11-15;27079566;30361;Prueba performance insertar ajuste de comision 11046;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079567;39960;2024-11-15;27079567;30362;Prueba performance insertar ajuste de comision 11047;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079568;39961;2024-11-15;27079568;30363;Prueba performance insertar ajuste de comision 11048;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079569;39962;2024-11-15;27079569;30364;Prueba performance insertar ajuste de comision 11049;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079570;39763;2024-11-15;27079570;30365;Prueba performance insertar ajuste de comision 11050;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079571;39764;2024-11-15;27079571;30366;Prueba performance insertar ajuste de comision 11051;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079572;39765;2024-11-15;27079572;30367;Prueba performance insertar ajuste de comision 11052;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079573;39766;2024-11-15;27079573;30368;Prueba performance insertar ajuste de comision 11053;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079574;39996;2024-11-15;27079574;30369;Prueba performance insertar ajuste de comision 11054;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079575;39906;2024-11-15;27079575;30370;Prueba performance insertar ajuste de comision 11055;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079576;39960;2024-11-15;27079576;30371;Prueba performance insertar ajuste de comision 11056;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079577;39961;2024-11-15;27079577;30372;Prueba performance insertar ajuste de comision 11057;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079578;39962;2024-11-15;27079578;30373;Prueba performance insertar ajuste de comision 11058;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079579;39763;2024-11-15;27079579;30374;Prueba performance insertar ajuste de comision 11059;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079580;39764;2024-11-15;27079580;30375;Prueba performance insertar ajuste de comision 11060;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079581;39765;2024-11-15;27079581;30376;Prueba performance insertar ajuste de comision 11061;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079582;39766;2024-11-15;27079582;30377;Prueba performance insertar ajuste de comision 11062;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079583;39996;2024-11-15;27079583;30378;Prueba performance insertar ajuste de comision 11063;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079584;39906;2024-11-15;27079584;30379;Prueba performance insertar ajuste de comision 11064;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079585;39960;2024-11-15;27079585;30380;Prueba performance insertar ajuste de comision 11065;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079586;39961;2024-11-15;27079586;30381;Prueba performance insertar ajuste de comision 11066;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079587;39962;2024-11-15;27079587;30382;Prueba performance insertar ajuste de comision 11067;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079588;39763;2024-11-15;27079588;30383;Prueba performance insertar ajuste de comision 11068;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079589;39764;2024-11-15;27079589;30384;Prueba performance insertar ajuste de comision 11069;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079590;39765;2024-11-15;27079590;30385;Prueba performance insertar ajuste de comision 11070;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079591;39766;2024-11-15;27079591;30386;Prueba performance insertar ajuste de comision 11071;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079592;39996;2024-11-15;27079592;30387;Prueba performance insertar ajuste de comision 11072;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079593;39906;2024-11-15;27079593;30388;Prueba performance insertar ajuste de comision 11073;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079594;39960;2024-11-15;27079594;30389;Prueba performance insertar ajuste de comision 11074;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079595;39961;2024-11-15;27079595;30390;Prueba performance insertar ajuste de comision 11075;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079596;39962;2024-11-15;27079596;30391;Prueba performance insertar ajuste de comision 11076;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079597;39763;2024-11-15;27079597;30392;Prueba performance insertar ajuste de comision 11077;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079598;39764;2024-11-15;27079598;30393;Prueba performance insertar ajuste de comision 11078;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079599;39765;2024-11-15;27079599;30394;Prueba performance insertar ajuste de comision 11079;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079600;39766;2024-11-15;27079600;30395;Prueba performance insertar ajuste de comision 11080;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079601;39996;2024-11-15;27079601;30396;Prueba performance insertar ajuste de comision 11081;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079602;39906;2024-11-15;27079602;30397;Prueba performance insertar ajuste de comision 11082;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079603;39960;2024-11-15;27079603;30398;Prueba performance insertar ajuste de comision 11083;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079604;39961;2024-11-15;27079604;30399;Prueba performance insertar ajuste de comision 11084;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079605;39962;2024-11-15;27079605;30400;Prueba performance insertar ajuste de comision 11085;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079606;39763;2024-11-15;27079606;30401;Prueba performance insertar ajuste de comision 11086;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079607;39764;2024-11-15;27079607;30402;Prueba performance insertar ajuste de comision 11087;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079608;39765;2024-11-15;27079608;30403;Prueba performance insertar ajuste de comision 11088;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079609;39766;2024-11-15;27079609;30404;Prueba performance insertar ajuste de comision 11089;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079610;39996;2024-11-15;27079610;30405;Prueba performance insertar ajuste de comision 11090;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079611;39906;2024-11-15;27079611;30406;Prueba performance insertar ajuste de comision 11091;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079612;39960;2024-11-15;27079612;30407;Prueba performance insertar ajuste de comision 11092;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079613;39961;2024-11-15;27079613;30408;Prueba performance insertar ajuste de comision 11093;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079614;39962;2024-11-15;27079614;30409;Prueba performance insertar ajuste de comision 11094;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079615;39763;2024-11-15;27079615;30410;Prueba performance insertar ajuste de comision 11095;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079616;39764;2024-11-15;27079616;30411;Prueba performance insertar ajuste de comision 11096;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079617;39765;2024-11-15;27079617;30412;Prueba performance insertar ajuste de comision 11097;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079618;39766;2024-11-15;27079618;30413;Prueba performance insertar ajuste de comision 11098;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079619;39996;2024-11-15;27079619;30414;Prueba performance insertar ajuste de comision 11099;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079620;39906;2024-11-15;27079620;30415;Prueba performance insertar ajuste de comision 11100;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079621;39960;2024-11-15;27079621;30416;Prueba performance insertar ajuste de comision 11101;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079622;39961;2024-11-15;27079622;30417;Prueba performance insertar ajuste de comision 11102;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079623;39962;2024-11-15;27079623;30418;Prueba performance insertar ajuste de comision 11103;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079624;39763;2024-11-15;27079624;30419;Prueba performance insertar ajuste de comision 11104;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079625;39764;2024-11-15;27079625;30420;Prueba performance insertar ajuste de comision 11105;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079626;39765;2024-11-15;27079626;30421;Prueba performance insertar ajuste de comision 11106;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079627;39766;2024-11-15;27079627;30422;Prueba performance insertar ajuste de comision 11107;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079628;39996;2024-11-15;27079628;30423;Prueba performance insertar ajuste de comision 11108;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079629;39906;2024-11-15;27079629;30424;Prueba performance insertar ajuste de comision 11109;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079630;39960;2024-11-15;27079630;30425;Prueba performance insertar ajuste de comision 11110;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079631;39961;2024-11-15;27079631;30426;Prueba performance insertar ajuste de comision 11111;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079632;39962;2024-11-15;27079632;30427;Prueba performance insertar ajuste de comision 11112;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079633;39763;2024-11-15;27079633;30428;Prueba performance insertar ajuste de comision 11113;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079634;39764;2024-11-15;27079634;30429;Prueba performance insertar ajuste de comision 11114;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079635;39765;2024-11-15;27079635;30430;Prueba performance insertar ajuste de comision 11115;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079636;39766;2024-11-15;27079636;30431;Prueba performance insertar ajuste de comision 11116;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079637;39996;2024-11-15;27079637;30432;Prueba performance insertar ajuste de comision 11117;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079638;39906;2024-11-15;27079638;30433;Prueba performance insertar ajuste de comision 11118;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079639;39960;2024-11-15;27079639;30434;Prueba performance insertar ajuste de comision 11119;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079640;39961;2024-11-15;27079640;30435;Prueba performance insertar ajuste de comision 11120;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079641;39962;2024-11-15;27079641;30436;Prueba performance insertar ajuste de comision 11121;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079642;39763;2024-11-15;27079642;30437;Prueba performance insertar ajuste de comision 11122;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079643;39764;2024-11-15;27079643;30438;Prueba performance insertar ajuste de comision 11123;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079644;39765;2024-11-15;27079644;30439;Prueba performance insertar ajuste de comision 11124;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079645;39766;2024-11-15;27079645;30440;Prueba performance insertar ajuste de comision 11125;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079646;39996;2024-11-15;27079646;30441;Prueba performance insertar ajuste de comision 11126;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079647;39906;2024-11-15;27079647;30442;Prueba performance insertar ajuste de comision 11127;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079648;39960;2024-11-15;27079648;30443;Prueba performance insertar ajuste de comision 11128;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079649;39961;2024-11-15;27079649;30444;Prueba performance insertar ajuste de comision 11129;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079650;39962;2024-11-15;27079650;30445;Prueba performance insertar ajuste de comision 11130;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079651;39763;2024-11-15;27079651;30446;Prueba performance insertar ajuste de comision 11131;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079652;39764;2024-11-15;27079652;30447;Prueba performance insertar ajuste de comision 11132;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079653;39765;2024-11-15;27079653;30448;Prueba performance insertar ajuste de comision 11133;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079654;39766;2024-11-15;27079654;30449;Prueba performance insertar ajuste de comision 11134;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079655;39996;2024-11-15;27079655;30450;Prueba performance insertar ajuste de comision 11135;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079656;39906;2024-11-15;27079656;30451;Prueba performance insertar ajuste de comision 11136;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079657;39960;2024-11-15;27079657;30452;Prueba performance insertar ajuste de comision 11137;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079658;39961;2024-11-15;27079658;30453;Prueba performance insertar ajuste de comision 11138;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079659;39962;2024-11-15;27079659;30454;Prueba performance insertar ajuste de comision 11139;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079660;39763;2024-11-15;27079660;30455;Prueba performance insertar ajuste de comision 11140;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079661;39764;2024-11-15;27079661;30456;Prueba performance insertar ajuste de comision 11141;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079662;39765;2024-11-15;27079662;30457;Prueba performance insertar ajuste de comision 11142;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079663;39766;2024-11-15;27079663;30458;Prueba performance insertar ajuste de comision 11143;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079664;39996;2024-11-15;27079664;30459;Prueba performance insertar ajuste de comision 11144;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079665;39906;2024-11-15;27079665;30460;Prueba performance insertar ajuste de comision 11145;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079666;39960;2024-11-15;27079666;30461;Prueba performance insertar ajuste de comision 11146;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079667;39961;2024-11-15;27079667;30462;Prueba performance insertar ajuste de comision 11147;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079668;39962;2024-11-15;27079668;30463;Prueba performance insertar ajuste de comision 11148;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079669;39763;2024-11-15;27079669;30464;Prueba performance insertar ajuste de comision 11149;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079670;39764;2024-11-15;27079670;30465;Prueba performance insertar ajuste de comision 11150;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079671;39765;2024-11-15;27079671;30466;Prueba performance insertar ajuste de comision 11151;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079672;39766;2024-11-15;27079672;30467;Prueba performance insertar ajuste de comision 11152;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079673;39996;2024-11-15;27079673;30468;Prueba performance insertar ajuste de comision 11153;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079674;39906;2024-11-15;27079674;30469;Prueba performance insertar ajuste de comision 11154;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079675;39960;2024-11-15;27079675;30470;Prueba performance insertar ajuste de comision 11155;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079676;39961;2024-11-15;27079676;30471;Prueba performance insertar ajuste de comision 11156;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079677;39962;2024-11-15;27079677;30472;Prueba performance insertar ajuste de comision 11157;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079678;39763;2024-11-15;27079678;30473;Prueba performance insertar ajuste de comision 11158;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079679;39764;2024-11-15;27079679;30474;Prueba performance insertar ajuste de comision 11159;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079680;39765;2024-11-15;27079680;30475;Prueba performance insertar ajuste de comision 11160;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079681;39766;2024-11-15;27079681;30476;Prueba performance insertar ajuste de comision 11161;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079682;39996;2024-11-15;27079682;30477;Prueba performance insertar ajuste de comision 11162;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079683;39906;2024-11-15;27079683;30478;Prueba performance insertar ajuste de comision 11163;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079684;39960;2024-11-15;27079684;30479;Prueba performance insertar ajuste de comision 11164;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079685;39961;2024-11-15;27079685;30480;Prueba performance insertar ajuste de comision 11165;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079686;39962;2024-11-15;27079686;30481;Prueba performance insertar ajuste de comision 11166;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079687;39763;2024-11-15;27079687;30482;Prueba performance insertar ajuste de comision 11167;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079688;39764;2024-11-15;27079688;30483;Prueba performance insertar ajuste de comision 11168;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079689;39765;2024-11-15;27079689;30484;Prueba performance insertar ajuste de comision 11169;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079690;39766;2024-11-15;27079690;30485;Prueba performance insertar ajuste de comision 11170;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079691;39996;2024-11-15;27079691;30486;Prueba performance insertar ajuste de comision 11171;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079692;39906;2024-11-15;27079692;30487;Prueba performance insertar ajuste de comision 11172;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079693;39960;2024-11-15;27079693;30488;Prueba performance insertar ajuste de comision 11173;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079694;39961;2024-11-15;27079694;30489;Prueba performance insertar ajuste de comision 11174;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079695;39962;2024-11-15;27079695;30490;Prueba performance insertar ajuste de comision 11175;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079696;39763;2024-11-15;27079696;30491;Prueba performance insertar ajuste de comision 11176;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079697;39764;2024-11-15;27079697;30492;Prueba performance insertar ajuste de comision 11177;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079698;39765;2024-11-15;27079698;30493;Prueba performance insertar ajuste de comision 11178;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079699;39766;2024-11-15;27079699;30494;Prueba performance insertar ajuste de comision 11179;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079700;39996;2024-11-15;27079700;30495;Prueba performance insertar ajuste de comision 11180;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079701;39906;2024-11-15;27079701;30496;Prueba performance insertar ajuste de comision 11181;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079702;39960;2024-11-15;27079702;30497;Prueba performance insertar ajuste de comision 11182;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079703;39961;2024-11-15;27079703;30498;Prueba performance insertar ajuste de comision 11183;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079704;39962;2024-11-15;27079704;30499;Prueba performance insertar ajuste de comision 11184;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079705;39763;2024-11-15;27079705;30500;Prueba performance insertar ajuste de comision 11185;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079706;39764;2024-11-15;27079706;30501;Prueba performance insertar ajuste de comision 11186;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
27079707;39765;2024-11-15;27079707;30502;Prueba performance insertar ajuste de comision 11187;2;0;2;2;21;2024-11-15;null;0;null;null;null;300;159
