cdmvto_sinc_billeteraIAC;cdusuarioIAC;femvtoIAC;cdnumero_transaccionIAC;vrmvtoIAC;dsdescripcion_mvtoIAC;cdtipo_mvtoIAC;cdtipo_ajusteIAC;cdorigen_ajusteIAC;cdmvto_relacionIAC;cdusuario_ingresaIAC;feingresaIAC;femodificaIAC;cdmovimiento_referenciaIAC;dsplacaIAC;cdpunto_atencionIAC;cdtipo_consumoIAC;vrajusteIAC;cdajusteIAC
24096842;36468;2024-11-15;24096842;30334;Prueba performance insertar ajuste de consumo 11020;2;0;0;null;21;2024-11-15;null;null;QWE000;123;1;2000;159
24096843;36468;2024-11-15;24096843;30335;Prueba performance insertar ajuste de consumo 11021;2;0;0;null;21;2024-11-15;null;null;RTQ843;123;1;2000;159
24096844;36468;2024-11-15;24096844;30336;Prueba performance insertar ajuste de consumo 11022;2;0;0;null;21;2024-11-15;null;null;AJT124;123;1;2000;159
24096845;36468;2024-11-15;24096845;30337;Prueba performance insertar ajuste de consumo 11023;2;0;0;null;21;2024-11-15;null;null;COA721;123;1;2000;159
24096846;36468;2024-11-15;24096846;30338;Prueba performance insertar ajuste de consumo 11024;2;0;0;null;21;2024-11-15;null;null;JJV112;123;1;2000;159
24096847;36468;2024-11-15;24096847;30339;Prueba performance insertar ajuste de consumo 11025;2;0;0;null;21;2024-11-15;null;null;LED195;123;1;2000;159
24096848;36468;2024-11-15;24096848;30340;Prueba performance insertar ajuste de consumo 11026;2;0;0;null;21;2024-11-15;null;null;MIT123;123;1;2000;159
24096849;36468;2024-11-15;24096849;30341;Prueba performance insertar ajuste de consumo 11027;2;0;0;null;21;2024-11-15;null;null;NAJ352;123;1;2000;159
24096850;36468;2024-11-15;24096850;30342;Prueba performance insertar ajuste de consumo 11028;2;0;0;null;21;2024-11-15;null;null;QWE000;123;1;2000;159
24096851;36468;2024-11-15;24096851;30343;Prueba performance insertar ajuste de consumo 11029;2;0;0;null;21;2024-11-15;null;null;RTQ843;123;1;2000;159
24096852;36468;2024-11-15;24096852;30344;Prueba performance insertar ajuste de consumo 11030;2;0;0;null;21;2024-11-15;null;null;AJT124;123;1;2000;159
24096853;36468;2024-11-15;24096853;30345;Prueba performance insertar ajuste de consumo 11031;2;0;0;null;21;2024-11-15;null;null;COA721;123;1;2000;159
24096854;36468;2024-11-15;24096854;30346;Prueba performance insertar ajuste de consumo 11032;2;0;0;null;21;2024-11-15;null;null;JJV112;123;1;2000;159
24096855;36468;2024-11-15;24096855;30347;Prueba performance insertar ajuste de consumo 11033;2;0;0;null;21;2024-11-15;null;null;LED195;123;1;2000;159
24096856;36468;2024-11-15;24096856;30348;Prueba performance insertar ajuste de consumo 11034;2;0;0;null;21;2024-11-15;null;null;MIT123;123;1;2000;159
24096857;36468;2024-11-15;24096857;30349;Prueba performance insertar ajuste de consumo 11035;2;0;0;null;21;2024-11-15;null;null;NAJ352;123;1;2000;159
24096858;36468;2024-11-15;24096858;30350;Prueba performance insertar ajuste de consumo 11036;2;0;0;null;21;2024-11-15;null;null;QWE000;123;1;2000;159
24096859;36468;2024-11-15;24096859;30351;Prueba performance insertar ajuste de consumo 11037;2;0;0;null;21;2024-11-15;null;null;RTQ843;123;1;2000;159
24096860;36468;2024-11-15;24096860;30352;Prueba performance insertar ajuste de consumo 11038;2;0;0;null;21;2024-11-15;null;null;AJT124;123;1;2000;159
24096861;36468;2024-11-15;24096861;30353;Prueba performance insertar ajuste de consumo 11039;2;0;0;null;21;2024-11-15;null;null;COA721;123;1;2000;159
24096862;36468;2024-11-15;24096862;30354;Prueba performance insertar ajuste de consumo 11040;2;0;0;null;21;2024-11-15;null;null;JJV112;123;1;2000;159
24096863;36468;2024-11-15;24096863;30355;Prueba performance insertar ajuste de consumo 11041;2;0;0;null;21;2024-11-15;null;null;LED195;123;1;2000;159
24096864;36468;2024-11-15;24096864;30356;Prueba performance insertar ajuste de consumo 11042;2;0;0;null;21;2024-11-15;null;null;MIT123;123;1;2000;159
24096865;36468;2024-11-15;24096865;30357;Prueba performance insertar ajuste de consumo 11043;2;0;0;null;21;2024-11-15;null;null;NAJ352;123;1;2000;159
24096866;36468;2024-11-15;24096866;30358;Prueba performance insertar ajuste de consumo 11044;2;0;0;null;21;2024-11-15;null;null;QWE000;123;1;2000;159
24096867;36468;2024-11-15;24096867;30359;Prueba performance insertar ajuste de consumo 11045;2;0;0;null;21;2024-11-15;null;null;RTQ843;123;1;2000;159
24096868;36468;2024-11-15;24096868;30360;Prueba performance insertar ajuste de consumo 11046;2;0;0;null;21;2024-11-15;null;null;AJT124;123;1;2000;159
24096869;36468;2024-11-15;24096869;30361;Prueba performance insertar ajuste de consumo 11047;2;0;0;null;21;2024-11-15;null;null;COA721;123;1;2000;159
24096870;36468;2024-11-15;24096870;30362;Prueba performance insertar ajuste de consumo 11048;2;0;0;null;21;2024-11-15;null;null;JJV112;123;1;2000;159
24096871;36468;2024-11-15;24096871;30363;Prueba performance insertar ajuste de consumo 11049;2;0;0;null;21;2024-11-15;null;null;LED195;123;1;2000;159
24096872;36468;2024-11-15;24096872;30364;Prueba performance insertar ajuste de consumo 11050;2;0;0;null;21;2024-11-15;null;null;MIT123;123;1;2000;159
24096873;36468;2024-11-15;24096873;30365;Prueba performance insertar ajuste de consumo 11051;2;0;0;null;21;2024-11-15;null;null;NAJ352;123;1;2000;159
24096874;36468;2024-11-15;24096874;30366;Prueba performance insertar ajuste de consumo 11052;2;0;0;null;21;2024-11-15;null;null;QWE000;123;1;2000;159
24096875;36468;2024-11-15;24096875;30367;Prueba performance insertar ajuste de consumo 11053;2;0;0;null;21;2024-11-15;null;null;RTQ843;123;1;2000;159
24096876;36468;2024-11-15;24096876;30368;Prueba performance insertar ajuste de consumo 11054;2;0;0;null;21;2024-11-15;null;null;AJT124;123;1;2000;159
24096877;36468;2024-11-15;24096877;30369;Prueba performance insertar ajuste de consumo 11055;2;0;0;null;21;2024-11-15;null;null;COA721;123;1;2000;159
24096878;36468;2024-11-15;24096878;30370;Prueba performance insertar ajuste de consumo 11056;2;0;0;null;21;2024-11-15;null;null;JJV112;123;1;2000;159
24096879;36468;2024-11-15;24096879;30371;Prueba performance insertar ajuste de consumo 11057;2;0;0;null;21;2024-11-15;null;null;LED195;123;1;2000;159
24096880;36468;2024-11-15;24096880;30372;Prueba performance insertar ajuste de consumo 11058;2;0;0;null;21;2024-11-15;null;null;MIT123;123;1;2000;159
24096881;36468;2024-11-15;24096881;30373;Prueba performance insertar ajuste de consumo 11059;2;0;0;null;21;2024-11-15;null;null;NAJ352;123;1;2000;159
24096882;36468;2024-11-15;24096882;30374;Prueba performance insertar ajuste de consumo 11060;2;0;0;null;21;2024-11-15;null;null;QWE000;123;1;2000;159
24096883;36468;2024-11-15;24096883;30375;Prueba performance insertar ajuste de consumo 11061;2;0;0;null;21;2024-11-15;null;null;RTQ843;123;1;2000;159
24096884;36468;2024-11-15;24096884;30376;Prueba performance insertar ajuste de consumo 11062;2;0;0;null;21;2024-11-15;null;null;AJT124;123;1;2000;159
24096885;36468;2024-11-15;24096885;30377;Prueba performance insertar ajuste de consumo 11063;2;0;0;null;21;2024-11-15;null;null;COA721;123;1;2000;159
24096886;36468;2024-11-15;24096886;30378;Prueba performance insertar ajuste de consumo 11064;2;0;0;null;21;2024-11-15;null;null;JJV112;123;1;2000;159
24096887;36468;2024-11-15;24096887;30379;Prueba performance insertar ajuste de consumo 11065;2;0;0;null;21;2024-11-15;null;null;LED195;123;1;2000;159
24096888;36468;2024-11-15;24096888;30380;Prueba performance insertar ajuste de consumo 11066;2;0;0;null;21;2024-11-15;null;null;MIT123;123;1;2000;159
24096889;36468;2024-11-15;24096889;30381;Prueba performance insertar ajuste de consumo 11067;2;0;0;null;21;2024-11-15;null;null;NAJ352;123;1;2000;159
24096890;36468;2024-11-15;24096890;30382;Prueba performance insertar ajuste de consumo 11068;2;0;0;null;21;2024-11-15;null;null;QWE000;123;1;2000;159
24096891;36468;2024-11-15;24096891;30383;Prueba performance insertar ajuste de consumo 11069;2;0;0;null;21;2024-11-15;null;null;RTQ843;123;1;2000;159
24096892;36468;2024-11-15;24096892;30384;Prueba performance insertar ajuste de consumo 11070;2;0;0;null;21;2024-11-15;null;null;AJT124;123;1;2000;159
24096893;36468;2024-11-15;24096893;30385;Prueba performance insertar ajuste de consumo 11071;2;0;0;null;21;2024-11-15;null;null;COA721;123;1;2000;159
24096894;36468;2024-11-15;24096894;30386;Prueba performance insertar ajuste de consumo 11072;2;0;0;null;21;2024-11-15;null;null;JJV112;123;1;2000;159
24096895;36468;2024-11-15;24096895;30387;Prueba performance insertar ajuste de consumo 11073;2;0;0;null;21;2024-11-15;null;null;LED195;123;1;2000;159
24096896;36468;2024-11-15;24096896;30388;Prueba performance insertar ajuste de consumo 11074;2;0;0;null;21;2024-11-15;null;null;MIT123;123;1;2000;159
24096897;36468;2024-11-15;24096897;30389;Prueba performance insertar ajuste de consumo 11075;2;0;0;null;21;2024-11-15;null;null;NAJ352;123;1;2000;159
24096898;36468;2024-11-15;24096898;30390;Prueba performance insertar ajuste de consumo 11076;2;0;0;null;21;2024-11-15;null;null;QWE000;123;1;2000;159
24096899;36468;2024-11-15;24096899;30391;Prueba performance insertar ajuste de consumo 11077;2;0;0;null;21;2024-11-15;null;null;RTQ843;123;1;2000;159
24096900;36468;2024-11-15;24096900;30392;Prueba performance insertar ajuste de consumo 11078;2;0;0;null;21;2024-11-15;null;null;AJT124;123;1;2000;159
24096901;36468;2024-11-15;24096901;30393;Prueba performance insertar ajuste de consumo 11079;2;0;0;null;21;2024-11-15;null;null;COA721;123;1;2000;159
24096902;36468;2024-11-15;24096902;30394;Prueba performance insertar ajuste de consumo 11080;2;0;0;null;21;2024-11-15;null;null;JJV112;123;1;2000;159
24096903;36468;2024-11-15;24096903;30395;Prueba performance insertar ajuste de consumo 11081;2;0;0;null;21;2024-11-15;null;null;LED195;123;1;2000;159
24096904;36468;2024-11-15;24096904;30396;Prueba performance insertar ajuste de consumo 11082;2;0;0;null;21;2024-11-15;null;null;MIT123;123;1;2000;159
24096905;36468;2024-11-15;24096905;30397;Prueba performance insertar ajuste de consumo 11083;2;0;0;null;21;2024-11-15;null;null;NAJ352;123;1;2000;159
24096906;36468;2024-11-15;24096906;30398;Prueba performance insertar ajuste de consumo 11084;2;0;0;null;21;2024-11-15;null;null;QWE000;123;1;2000;159
24096907;36468;2024-11-15;24096907;30399;Prueba performance insertar ajuste de consumo 11085;2;0;0;null;21;2024-11-15;null;null;RTQ843;123;1;2000;159
24096908;36468;2024-11-15;24096908;30400;Prueba performance insertar ajuste de consumo 11086;2;0;0;null;21;2024-11-15;null;null;AJT124;123;1;2000;159
24096909;36468;2024-11-15;24096909;30401;Prueba performance insertar ajuste de consumo 11087;2;0;0;null;21;2024-11-15;null;null;COA721;123;1;2000;159
24096910;36468;2024-11-15;24096910;30402;Prueba performance insertar ajuste de consumo 11088;2;0;0;null;21;2024-11-15;null;null;JJV112;123;1;2000;159
24096911;36468;2024-11-15;24096911;30403;Prueba performance insertar ajuste de consumo 11089;2;0;0;null;21;2024-11-15;null;null;LED195;123;1;2000;159
24096912;36468;2024-11-15;24096912;30404;Prueba performance insertar ajuste de consumo 11090;2;0;0;null;21;2024-11-15;null;null;MIT123;123;1;2000;159
24096913;36468;2024-11-15;24096913;30405;Prueba performance insertar ajuste de consumo 11091;2;0;0;null;21;2024-11-15;null;null;NAJ352;123;1;2000;159
24096914;36468;2024-11-15;24096914;30406;Prueba performance insertar ajuste de consumo 11092;2;0;0;null;21;2024-11-15;null;null;QWE000;123;1;2000;159
24096915;36468;2024-11-15;24096915;30407;Prueba performance insertar ajuste de consumo 11093;2;0;0;null;21;2024-11-15;null;null;RTQ843;123;1;2000;159
24096916;36468;2024-11-15;24096916;30408;Prueba performance insertar ajuste de consumo 11094;2;0;0;null;21;2024-11-15;null;null;AJT124;123;1;2000;159
24096917;36468;2024-11-15;24096917;30409;Prueba performance insertar ajuste de consumo 11095;2;0;0;null;21;2024-11-15;null;null;COA721;123;1;2000;159
24096918;36468;2024-11-15;24096918;30410;Prueba performance insertar ajuste de consumo 11096;2;0;0;null;21;2024-11-15;null;null;JJV112;123;1;2000;159
24096919;36468;2024-11-15;24096919;30411;Prueba performance insertar ajuste de consumo 11097;2;0;0;null;21;2024-11-15;null;null;LED195;123;1;2000;159
24096920;36468;2024-11-15;24096920;30412;Prueba performance insertar ajuste de consumo 11098;2;0;0;null;21;2024-11-15;null;null;MIT123;123;1;2000;159
24096921;36468;2024-11-15;24096921;30413;Prueba performance insertar ajuste de consumo 11099;2;0;0;null;21;2024-11-15;null;null;NAJ352;123;1;2000;159
24096922;36468;2024-11-15;24096922;30414;Prueba performance insertar ajuste de consumo 11100;2;0;0;null;21;2024-11-15;null;null;QWE000;123;1;2000;159
24096923;36468;2024-11-15;24096923;30415;Prueba performance insertar ajuste de consumo 11101;2;0;0;null;21;2024-11-15;null;null;RTQ843;123;1;2000;159
24096924;36468;2024-11-15;24096924;30416;Prueba performance insertar ajuste de consumo 11102;2;0;0;null;21;2024-11-15;null;null;AJT124;123;1;2000;159
24096925;36468;2024-11-15;24096925;30417;Prueba performance insertar ajuste de consumo 11103;2;0;0;null;21;2024-11-15;null;null;COA721;123;1;2000;159
24096926;36468;2024-11-15;24096926;30418;Prueba performance insertar ajuste de consumo 11104;2;0;0;null;21;2024-11-15;null;null;JJV112;123;1;2000;159
24096927;36468;2024-11-15;24096927;30419;Prueba performance insertar ajuste de consumo 11105;2;0;0;null;21;2024-11-15;null;null;LED195;123;1;2000;159
24096928;36468;2024-11-15;24096928;30420;Prueba performance insertar ajuste de consumo 11106;2;0;0;null;21;2024-11-15;null;null;MIT123;123;1;2000;159
24096929;36468;2024-11-15;24096929;30421;Prueba performance insertar ajuste de consumo 11107;2;0;0;null;21;2024-11-15;null;null;NAJ352;123;1;2000;159
24096930;36468;2024-11-15;24096930;30422;Prueba performance insertar ajuste de consumo 11108;2;0;0;null;21;2024-11-15;null;null;QWE000;123;1;2000;159
24096931;36468;2024-11-15;24096931;30423;Prueba performance insertar ajuste de consumo 11109;2;0;0;null;21;2024-11-15;null;null;RTQ843;123;1;2000;159
24096932;36468;2024-11-15;24096932;30424;Prueba performance insertar ajuste de consumo 11110;2;0;0;null;21;2024-11-15;null;null;AJT124;123;1;2000;159
24096933;36468;2024-11-15;24096933;30425;Prueba performance insertar ajuste de consumo 11111;2;0;0;null;21;2024-11-15;null;null;COA721;123;1;2000;159
24096934;36468;2024-11-15;24096934;30426;Prueba performance insertar ajuste de consumo 11112;2;0;0;null;21;2024-11-15;null;null;JJV112;123;1;2000;159
24096935;36468;2024-11-15;24096935;30427;Prueba performance insertar ajuste de consumo 11113;2;0;0;null;21;2024-11-15;null;null;LED195;123;1;2000;159
24096936;36468;2024-11-15;24096936;30428;Prueba performance insertar ajuste de consumo 11114;2;0;0;null;21;2024-11-15;null;null;MIT123;123;1;2000;159
24096937;36468;2024-11-15;24096937;30429;Prueba performance insertar ajuste de consumo 11115;2;0;0;null;21;2024-11-15;null;null;NAJ352;123;1;2000;159
24096938;36468;2024-11-15;24096938;30430;Prueba performance insertar ajuste de consumo 11116;2;0;0;null;21;2024-11-15;null;null;QWE000;123;1;2000;159
24096939;36468;2024-11-15;24096939;30431;Prueba performance insertar ajuste de consumo 11117;2;0;0;null;21;2024-11-15;null;null;RTQ843;123;1;2000;159
24096940;36468;2024-11-15;24096940;30432;Prueba performance insertar ajuste de consumo 11118;2;0;0;null;21;2024-11-15;null;null;AJT124;123;1;2000;159
24096941;36468;2024-11-15;24096941;30433;Prueba performance insertar ajuste de consumo 11119;2;0;0;null;21;2024-11-15;null;null;COA721;123;1;2000;159
24096942;36468;2024-11-15;24096942;30434;Prueba performance insertar ajuste de consumo 11120;2;0;0;null;21;2024-11-15;null;null;JJV112;123;1;2000;159
24096943;36468;2024-11-15;24096943;30435;Prueba performance insertar ajuste de consumo 11121;2;0;0;null;21;2024-11-15;null;null;LED195;123;1;2000;159
24096944;36468;2024-11-15;24096944;30436;Prueba performance insertar ajuste de consumo 11122;2;0;0;null;21;2024-11-15;null;null;MIT123;123;1;2000;159
24096945;36468;2024-11-15;24096945;30437;Prueba performance insertar ajuste de consumo 11123;2;0;0;null;21;2024-11-15;null;null;NAJ352;123;1;2000;159
24096946;36468;2024-11-15;24096946;30438;Prueba performance insertar ajuste de consumo 11124;2;0;0;null;21;2024-11-15;null;null;QWE000;123;1;2000;159
24096947;36468;2024-11-15;24096947;30439;Prueba performance insertar ajuste de consumo 11125;2;0;0;null;21;2024-11-15;null;null;RTQ843;123;1;2000;159
24096948;36468;2024-11-15;24096948;30440;Prueba performance insertar ajuste de consumo 11126;2;0;0;null;21;2024-11-15;null;null;AJT124;123;1;2000;159
24096949;36468;2024-11-15;24096949;30441;Prueba performance insertar ajuste de consumo 11127;2;0;0;null;21;2024-11-15;null;null;COA721;123;1;2000;159
24096950;36468;2024-11-15;24096950;30442;Prueba performance insertar ajuste de consumo 11128;2;0;0;null;21;2024-11-15;null;null;JJV112;123;1;2000;159
24096951;36468;2024-11-15;24096951;30443;Prueba performance insertar ajuste de consumo 11129;2;0;0;null;21;2024-11-15;null;null;LED195;123;1;2000;159
24096952;36468;2024-11-15;24096952;30444;Prueba performance insertar ajuste de consumo 11130;2;0;0;null;21;2024-11-15;null;null;MIT123;123;1;2000;159
24096953;36468;2024-11-15;24096953;30445;Prueba performance insertar ajuste de consumo 11131;2;0;0;null;21;2024-11-15;null;null;NAJ352;123;1;2000;159
24096954;36468;2024-11-15;24096954;30446;Prueba performance insertar ajuste de consumo 11132;2;0;0;null;21;2024-11-15;null;null;QWE000;123;1;2000;159
24096955;36468;2024-11-15;24096955;30447;Prueba performance insertar ajuste de consumo 11133;2;0;0;null;21;2024-11-15;null;null;RTQ843;123;1;2000;159
24096956;36468;2024-11-15;24096956;30448;Prueba performance insertar ajuste de consumo 11134;2;0;0;null;21;2024-11-15;null;null;AJT124;123;1;2000;159
24096957;36468;2024-11-15;24096957;30449;Prueba performance insertar ajuste de consumo 11135;2;0;0;null;21;2024-11-15;null;null;COA721;123;1;2000;159
24096958;36468;2024-11-15;24096958;30450;Prueba performance insertar ajuste de consumo 11136;2;0;0;null;21;2024-11-15;null;null;JJV112;123;1;2000;159
24096959;36468;2024-11-15;24096959;30451;Prueba performance insertar ajuste de consumo 11137;2;0;0;null;21;2024-11-15;null;null;LED195;123;1;2000;159
24096960;36468;2024-11-15;24096960;30452;Prueba performance insertar ajuste de consumo 11138;2;0;0;null;21;2024-11-15;null;null;MIT123;123;1;2000;159
24096961;36468;2024-11-15;24096961;30453;Prueba performance insertar ajuste de consumo 11139;2;0;0;null;21;2024-11-15;null;null;NAJ352;123;1;2000;159
24096962;36468;2024-11-15;24096962;30454;Prueba performance insertar ajuste de consumo 11140;2;0;0;null;21;2024-11-15;null;null;QWE000;123;1;2000;159
24096963;36468;2024-11-15;24096963;30455;Prueba performance insertar ajuste de consumo 11141;2;0;0;null;21;2024-11-15;null;null;RTQ843;123;1;2000;159
24096964;36468;2024-11-15;24096964;30456;Prueba performance insertar ajuste de consumo 11142;2;0;0;null;21;2024-11-15;null;null;AJT124;123;1;2000;159
24096965;36468;2024-11-15;24096965;30457;Prueba performance insertar ajuste de consumo 11143;2;0;0;null;21;2024-11-15;null;null;COA721;123;1;2000;159
24096966;36468;2024-11-15;24096966;30458;Prueba performance insertar ajuste de consumo 11144;2;0;0;null;21;2024-11-15;null;null;JJV112;123;1;2000;159
24096967;36468;2024-11-15;24096967;30459;Prueba performance insertar ajuste de consumo 11145;2;0;0;null;21;2024-11-15;null;null;LED195;123;1;2000;159
24096968;36468;2024-11-15;24096968;30460;Prueba performance insertar ajuste de consumo 11146;2;0;0;null;21;2024-11-15;null;null;MIT123;123;1;2000;159
24096969;36468;2024-11-15;24096969;30461;Prueba performance insertar ajuste de consumo 11147;2;0;0;null;21;2024-11-15;null;null;NAJ352;123;1;2000;159
24096970;36468;2024-11-15;24096970;30462;Prueba performance insertar ajuste de consumo 11148;2;0;0;null;21;2024-11-15;null;null;QWE000;123;1;2000;159
24096971;36468;2024-11-15;24096971;30463;Prueba performance insertar ajuste de consumo 11149;2;0;0;null;21;2024-11-15;null;null;RTQ843;123;1;2000;159
24096972;36468;2024-11-15;24096972;30464;Prueba performance insertar ajuste de consumo 11150;2;0;0;null;21;2024-11-15;null;null;AJT124;123;1;2000;159
24096973;36468;2024-11-15;24096973;30465;Prueba performance insertar ajuste de consumo 11151;2;0;0;null;21;2024-11-15;null;null;COA721;123;1;2000;159
24096974;36468;2024-11-15;24096974;30466;Prueba performance insertar ajuste de consumo 11152;2;0;0;null;21;2024-11-15;null;null;JJV112;123;1;2000;159
24096975;36468;2024-11-15;24096975;30467;Prueba performance insertar ajuste de consumo 11153;2;0;0;null;21;2024-11-15;null;null;LED195;123;1;2000;159
24096976;36468;2024-11-15;24096976;30468;Prueba performance insertar ajuste de consumo 11154;2;0;0;null;21;2024-11-15;null;null;MIT123;123;1;2000;159
24096977;36468;2024-11-15;24096977;30469;Prueba performance insertar ajuste de consumo 11155;2;0;0;null;21;2024-11-15;null;null;NAJ352;123;1;2000;159
24096978;36468;2024-11-15;24096978;30470;Prueba performance insertar ajuste de consumo 11156;2;0;0;null;21;2024-11-15;null;null;QWE000;123;1;2000;159
24096979;36468;2024-11-15;24096979;30471;Prueba performance insertar ajuste de consumo 11157;2;0;0;null;21;2024-11-15;null;null;RTQ843;123;1;2000;159
24096980;36468;2024-11-15;24096980;30472;Prueba performance insertar ajuste de consumo 11158;2;0;0;null;21;2024-11-15;null;null;AJT124;123;1;2000;159
24096981;36468;2024-11-15;24096981;30473;Prueba performance insertar ajuste de consumo 11159;2;0;0;null;21;2024-11-15;null;null;COA721;123;1;2000;159
24096982;36468;2024-11-15;24096982;30474;Prueba performance insertar ajuste de consumo 11160;2;0;0;null;21;2024-11-15;null;null;JJV112;123;1;2000;159
24096983;36468;2024-11-15;24096983;30475;Prueba performance insertar ajuste de consumo 11161;2;0;0;null;21;2024-11-15;null;null;LED195;123;1;2000;159
24096984;36468;2024-11-15;24096984;30476;Prueba performance insertar ajuste de consumo 11162;2;0;0;null;21;2024-11-15;null;null;MIT123;123;1;2000;159
24096985;36468;2024-11-15;24096985;30477;Prueba performance insertar ajuste de consumo 11163;2;0;0;null;21;2024-11-15;null;null;NAJ352;123;1;2000;159
24096986;36468;2024-11-15;24096986;30478;Prueba performance insertar ajuste de consumo 11164;2;0;0;null;21;2024-11-15;null;null;QWE000;123;1;2000;159
24096987;36468;2024-11-15;24096987;30479;Prueba performance insertar ajuste de consumo 11165;2;0;0;null;21;2024-11-15;null;null;RTQ843;123;1;2000;159
24096988;36468;2024-11-15;24096988;30480;Prueba performance insertar ajuste de consumo 11166;2;0;0;null;21;2024-11-15;null;null;AJT124;123;1;2000;159
24096989;36468;2024-11-15;24096989;30481;Prueba performance insertar ajuste de consumo 11167;2;0;0;null;21;2024-11-15;null;null;COA721;123;1;2000;159
24096990;36468;2024-11-15;24096990;30482;Prueba performance insertar ajuste de consumo 11168;2;0;0;null;21;2024-11-15;null;null;JJV112;123;1;2000;159
24096991;36468;2024-11-15;24096991;30483;Prueba performance insertar ajuste de consumo 11169;2;0;0;null;21;2024-11-15;null;null;LED195;123;1;2000;159
24096992;36468;2024-11-15;24096992;30484;Prueba performance insertar ajuste de consumo 11170;2;0;0;null;21;2024-11-15;null;null;MIT123;123;1;2000;159
24096993;36468;2024-11-15;24096993;30485;Prueba performance insertar ajuste de consumo 11171;2;0;0;null;21;2024-11-15;null;null;NAJ352;123;1;2000;159
24096994;36468;2024-11-15;24096994;30486;Prueba performance insertar ajuste de consumo 11172;2;0;0;null;21;2024-11-15;null;null;QWE000;123;1;2000;159
24096995;36468;2024-11-15;24096995;30487;Prueba performance insertar ajuste de consumo 11173;2;0;0;null;21;2024-11-15;null;null;RTQ843;123;1;2000;159
24096996;36468;2024-11-15;24096996;30488;Prueba performance insertar ajuste de consumo 11174;2;0;0;null;21;2024-11-15;null;null;AJT124;123;1;2000;159
