cdmvto_sinc_billeteraIR;cdusuarioIR;femvtoIR;cdnumero_transaccionIR;vrmvtoIR;dsdescripcion_mvtoIR;cdtipo_mvtoIR;cdtipo_ajusteIR;cdorigen_ajusteIR;cdmvto_relacionIR;cdusuario_ingresaIR;feingresaIR;femodificaIR;cdmovimiento_referenciaIR;dsplacaIR;cdpunto_atencionIR;cdtipo_consumoIR;vrajusteIR;cdajusteIR
24064346;39765;2024-11-15;24064346;20338;Prueba performance insertar recarga 11031;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064347;39766;2024-11-15;24064347;20339;Prueba performance insertar recarga 11032;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064348;39763;2024-11-15;24064348;20340;Prueba performance insertar recarga 11033;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064349;39763;2024-11-15;24064349;20341;Prueba performance insertar recarga 11034;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064350;39764;2024-11-15;24064350;20342;Prueba performance insertar recarga 11035;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064351;39765;2024-11-15;24064351;20343;Prueba performance insertar recarga 11036;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064352;39766;2024-11-15;24064352;20344;Prueba performance insertar recarga 11037;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064353;39763;2024-11-15;24064353;20345;Prueba performance insertar recarga 11038;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064354;39763;2024-11-15;24064354;20346;Prueba performance insertar recarga 11039;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064355;39764;2024-11-15;24064355;20347;Prueba performance insertar recarga 11040;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064356;39765;2024-11-15;24064356;20348;Prueba performance insertar recarga 11041;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064357;39766;2024-11-15;24064357;20349;Prueba performance insertar recarga 11042;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064358;39763;2024-11-15;24064358;20350;Prueba performance insertar recarga 11043;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064359;39763;2024-11-15;24064359;20351;Prueba performance insertar recarga 11044;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064360;39764;2024-11-15;24064360;20352;Prueba performance insertar recarga 11045;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064361;39765;2024-11-15;24064361;20353;Prueba performance insertar recarga 11046;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064362;39766;2024-11-15;24064362;20354;Prueba performance insertar recarga 11047;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064363;39763;2024-11-15;24064363;20355;Prueba performance insertar recarga 11048;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064364;39763;2024-11-15;24064364;20356;Prueba performance insertar recarga 11049;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064365;39764;2024-11-15;24064365;20357;Prueba performance insertar recarga 11050;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064366;39765;2024-11-15;24064366;20358;Prueba performance insertar recarga 11051;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064367;39766;2024-11-15;24064367;20359;Prueba performance insertar recarga 11052;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064368;39763;2024-11-15;24064368;20360;Prueba performance insertar recarga 11053;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064369;39763;2024-11-15;24064369;20361;Prueba performance insertar recarga 11054;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064370;39764;2024-11-15;24064370;20362;Prueba performance insertar recarga 11055;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064371;39765;2024-11-15;24064371;20363;Prueba performance insertar recarga 11056;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064372;39766;2024-11-15;24064372;20364;Prueba performance insertar recarga 11057;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064373;39763;2024-11-15;24064373;20365;Prueba performance insertar recarga 11058;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064374;39763;2024-11-15;24064374;20366;Prueba performance insertar recarga 11059;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064375;39764;2024-11-15;24064375;20367;Prueba performance insertar recarga 11060;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064376;39765;2024-11-15;24064376;20368;Prueba performance insertar recarga 11061;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064377;39766;2024-11-15;24064377;20369;Prueba performance insertar recarga 11062;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064378;39763;2024-11-15;24064378;20370;Prueba performance insertar recarga 11063;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064379;39763;2024-11-15;24064379;20371;Prueba performance insertar recarga 11064;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064380;39764;2024-11-15;24064380;20372;Prueba performance insertar recarga 11065;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064381;39765;2024-11-15;24064381;20373;Prueba performance insertar recarga 11066;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064382;39766;2024-11-15;24064382;20374;Prueba performance insertar recarga 11067;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064383;39763;2024-11-15;24064383;20375;Prueba performance insertar recarga 11068;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064384;39763;2024-11-15;24064384;20376;Prueba performance insertar recarga 11069;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064385;39764;2024-11-15;24064385;20377;Prueba performance insertar recarga 11070;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064386;39765;2024-11-15;24064386;20378;Prueba performance insertar recarga 11071;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064387;39766;2024-11-15;24064387;20379;Prueba performance insertar recarga 11072;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064388;39763;2024-11-15;24064388;20380;Prueba performance insertar recarga 11073;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064389;39763;2024-11-15;24064389;20381;Prueba performance insertar recarga 11074;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064390;39764;2024-11-15;24064390;20382;Prueba performance insertar recarga 11075;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064391;39765;2024-11-15;24064391;20383;Prueba performance insertar recarga 11076;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064392;39766;2024-11-15;24064392;20384;Prueba performance insertar recarga 11077;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064393;39763;2024-11-15;24064393;20385;Prueba performance insertar recarga 11078;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064394;39763;2024-11-15;24064394;20386;Prueba performance insertar recarga 11079;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064395;39764;2024-11-15;24064395;20387;Prueba performance insertar recarga 11080;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064396;39765;2024-11-15;24064396;20388;Prueba performance insertar recarga 11081;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064397;39766;2024-11-15;24064397;20389;Prueba performance insertar recarga 11082;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064398;39763;2024-11-15;24064398;20390;Prueba performance insertar recarga 11083;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064399;39763;2024-11-15;24064399;20391;Prueba performance insertar recarga 11084;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064400;39764;2024-11-15;24064400;20392;Prueba performance insertar recarga 11085;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064401;39765;2024-11-15;24064401;20393;Prueba performance insertar recarga 11086;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064402;39766;2024-11-15;24064402;20394;Prueba performance insertar recarga 11087;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064403;39763;2024-11-15;24064403;20395;Prueba performance insertar recarga 11088;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064404;39763;2024-11-15;24064404;20396;Prueba performance insertar recarga 11089;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064405;39764;2024-11-15;24064405;20397;Prueba performance insertar recarga 11090;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064406;39765;2024-11-15;24064406;20398;Prueba performance insertar recarga 11091;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064407;39766;2024-11-15;24064407;20399;Prueba performance insertar recarga 11092;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064408;39763;2024-11-15;24064408;20400;Prueba performance insertar recarga 11093;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064409;39763;2024-11-15;24064409;20401;Prueba performance insertar recarga 11094;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064410;39764;2024-11-15;24064410;20402;Prueba performance insertar recarga 11095;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064411;39765;2024-11-15;24064411;20403;Prueba performance insertar recarga 11096;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064412;39766;2024-11-15;24064412;20404;Prueba performance insertar recarga 11097;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064413;39763;2024-11-15;24064413;20405;Prueba performance insertar recarga 11098;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064414;39763;2024-11-15;24064414;20406;Prueba performance insertar recarga 11099;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064415;39764;2024-11-15;24064415;20407;Prueba performance insertar recarga 11100;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064416;39765;2024-11-15;24064416;20408;Prueba performance insertar recarga 11101;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064417;39766;2024-11-15;24064417;20409;Prueba performance insertar recarga 11102;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064418;39763;2024-11-15;24064418;20410;Prueba performance insertar recarga 11103;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064419;39763;2024-11-15;24064419;20411;Prueba performance insertar recarga 11104;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064420;39764;2024-11-15;24064420;20412;Prueba performance insertar recarga 11105;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064421;39765;2024-11-15;24064421;20413;Prueba performance insertar recarga 11106;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064422;39766;2024-11-15;24064422;20414;Prueba performance insertar recarga 11107;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064423;39763;2024-11-15;24064423;20415;Prueba performance insertar recarga 11108;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064424;39763;2024-11-15;24064424;20416;Prueba performance insertar recarga 11109;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064425;39764;2024-11-15;24064425;20417;Prueba performance insertar recarga 11110;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064426;39765;2024-11-15;24064426;20418;Prueba performance insertar recarga 11111;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064427;39766;2024-11-15;24064427;20419;Prueba performance insertar recarga 11112;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064428;39763;2024-11-15;24064428;20420;Prueba performance insertar recarga 11113;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064429;39763;2024-11-15;24064429;20421;Prueba performance insertar recarga 11114;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064430;39764;2024-11-15;24064430;20422;Prueba performance insertar recarga 11115;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064431;39765;2024-11-15;24064431;20423;Prueba performance insertar recarga 11116;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064432;39766;2024-11-15;24064432;20424;Prueba performance insertar recarga 11117;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064433;39763;2024-11-15;24064433;20425;Prueba performance insertar recarga 11118;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064434;39763;2024-11-15;24064434;20426;Prueba performance insertar recarga 11119;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064435;39764;2024-11-15;24064435;20427;Prueba performance insertar recarga 11120;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064436;39765;2024-11-15;24064436;20428;Prueba performance insertar recarga 11121;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064437;39766;2024-11-15;24064437;20429;Prueba performance insertar recarga 11122;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064438;39763;2024-11-15;24064438;20430;Prueba performance insertar recarga 11123;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064439;39763;2024-11-15;24064439;20431;Prueba performance insertar recarga 11124;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064440;39764;2024-11-15;24064440;20432;Prueba performance insertar recarga 11125;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064441;39765;2024-11-15;24064441;20433;Prueba performance insertar recarga 11126;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064442;39766;2024-11-15;24064442;20434;Prueba performance insertar recarga 11127;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064443;39763;2024-11-15;24064443;20435;Prueba performance insertar recarga 11128;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064444;39763;2024-11-15;24064444;20436;Prueba performance insertar recarga 11129;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064445;39764;2024-11-15;24064445;20437;Prueba performance insertar recarga 11130;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064446;39765;2024-11-15;24064446;20438;Prueba performance insertar recarga 11131;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064447;39766;2024-11-15;24064447;20439;Prueba performance insertar recarga 11132;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064448;39763;2024-11-15;24064448;20440;Prueba performance insertar recarga 11133;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064449;39763;2024-11-15;24064449;20441;Prueba performance insertar recarga 11134;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064450;39764;2024-11-15;24064450;20442;Prueba performance insertar recarga 11135;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064451;39765;2024-11-15;24064451;20443;Prueba performance insertar recarga 11136;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064452;39766;2024-11-15;24064452;20444;Prueba performance insertar recarga 11137;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064453;39763;2024-11-15;24064453;20445;Prueba performance insertar recarga 11138;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064454;39763;2024-11-15;24064454;20446;Prueba performance insertar recarga 11139;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064455;39764;2024-11-15;24064455;20447;Prueba performance insertar recarga 11140;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064456;39765;2024-11-15;24064456;20448;Prueba performance insertar recarga 11141;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064457;39766;2024-11-15;24064457;20449;Prueba performance insertar recarga 11142;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064458;39763;2024-11-15;24064458;20450;Prueba performance insertar recarga 11143;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064459;39763;2024-11-15;24064459;20451;Prueba performance insertar recarga 11144;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064460;39764;2024-11-15;24064460;20452;Prueba performance insertar recarga 11145;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064461;39765;2024-11-15;24064461;20453;Prueba performance insertar recarga 11146;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064462;39766;2024-11-15;24064462;20454;Prueba performance insertar recarga 11147;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064463;39763;2024-11-15;24064463;20455;Prueba performance insertar recarga 11148;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064464;39763;2024-11-15;24064464;20456;Prueba performance insertar recarga 11149;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064465;39764;2024-11-15;24064465;20457;Prueba performance insertar recarga 11150;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064466;39765;2024-11-15;24064466;20458;Prueba performance insertar recarga 11151;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064467;39766;2024-11-15;24064467;20459;Prueba performance insertar recarga 11152;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064468;39763;2024-11-15;24064468;20460;Prueba performance insertar recarga 11153;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064469;39763;2024-11-15;24064469;20461;Prueba performance insertar recarga 11154;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064470;39764;2024-11-15;24064470;20462;Prueba performance insertar recarga 11155;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064471;39765;2024-11-15;24064471;20463;Prueba performance insertar recarga 11156;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064472;39766;2024-11-15;24064472;20464;Prueba performance insertar recarga 11157;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064473;39763;2024-11-15;24064473;20465;Prueba performance insertar recarga 11158;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064474;39763;2024-11-15;24064474;20466;Prueba performance insertar recarga 11159;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064475;39764;2024-11-15;24064475;20467;Prueba performance insertar recarga 11160;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064476;39765;2024-11-15;24064476;20468;Prueba performance insertar recarga 11161;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064477;39766;2024-11-15;24064477;20469;Prueba performance insertar recarga 11162;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064478;39763;2024-11-15;24064478;20470;Prueba performance insertar recarga 11163;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064479;39763;2024-11-15;24064479;20471;Prueba performance insertar recarga 11164;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064480;39764;2024-11-15;24064480;20472;Prueba performance insertar recarga 11165;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064481;39765;2024-11-15;24064481;20473;Prueba performance insertar recarga 11166;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064482;39766;2024-11-15;24064482;20474;Prueba performance insertar recarga 11167;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064483;39763;2024-11-15;24064483;20475;Prueba performance insertar recarga 11168;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064484;39763;2024-11-15;24064484;20476;Prueba performance insertar recarga 11169;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064485;39764;2024-11-15;24064485;20477;Prueba performance insertar recarga 11170;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064486;39765;2024-11-15;24064486;20478;Prueba performance insertar recarga 11171;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064487;39766;2024-11-15;24064487;20479;Prueba performance insertar recarga 11172;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064488;39763;2024-11-15;24064488;20480;Prueba performance insertar recarga 11173;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064489;39763;2024-11-15;24064489;20481;Prueba performance insertar recarga 11174;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064490;39764;2024-11-15;24064490;20482;Prueba performance insertar recarga 11175;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064491;39765;2024-11-15;24064491;20483;Prueba performance insertar recarga 11176;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064492;39766;2024-11-15;24064492;20484;Prueba performance insertar recarga 11177;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064493;39763;2024-11-15;24064493;20485;Prueba performance insertar recarga 11178;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064494;39763;2024-11-15;24064494;20486;Prueba performance insertar recarga 11179;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064495;39764;2024-11-15;24064495;20487;Prueba performance insertar recarga 11180;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064496;39765;2024-11-15;24064496;20488;Prueba performance insertar recarga 11181;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064497;39766;2024-11-15;24064497;20489;Prueba performance insertar recarga 11182;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064498;39763;2024-11-15;24064498;20490;Prueba performance insertar recarga 11183;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064499;39763;2024-11-15;24064499;20491;Prueba performance insertar recarga 11184;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064500;39764;2024-11-15;24064500;20492;Prueba performance insertar recarga 11185;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064501;39765;2024-11-15;24064501;20493;Prueba performance insertar recarga 11186;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064502;39766;2024-11-15;24064502;20494;Prueba performance insertar recarga 11187;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064503;39763;2024-11-15;24064503;20495;Prueba performance insertar recarga 11188;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064504;39763;2024-11-15;24064504;20496;Prueba performance insertar recarga 11189;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064505;39764;2024-11-15;24064505;20497;Prueba performance insertar recarga 11190;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064506;39765;2024-11-15;24064506;20498;Prueba performance insertar recarga 11191;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064507;39766;2024-11-15;24064507;20499;Prueba performance insertar recarga 11192;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064508;39763;2024-11-15;24064508;20500;Prueba performance insertar recarga 11193;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064509;39763;2024-11-15;24064509;20501;Prueba performance insertar recarga 11194;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064510;39764;2024-11-15;24064510;20502;Prueba performance insertar recarga 11195;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064511;39765;2024-11-15;24064511;20503;Prueba performance insertar recarga 11196;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064512;39766;2024-11-15;24064512;20504;Prueba performance insertar recarga 11197;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
24064513;39763;2024-11-15;24064513;20505;Prueba performance insertar recarga 11198;1;null;null;30;21;2024-11-15;null;null;null;null;null;null;null
