cdmvto_sinc_billetera;cdusuario;femvto;cdnumero_transaccion;vrmvto;dsdescripcion_mvto;cdtipo_mvto;cdtipo_ajuste;cdorigen_ajuste;cdmvto_relacion;cdusuario_ingresa;feingresa;femodifica;cdmovimiento_referencia;dsplaca;cdpunto_atencion;cdtipo_consumo;vrajuste;cdajuste
23124140;36468;2024-11-15;23124140;30331;Prueba performance insertar referrencia 11018;0;null;null;null;21;2024-11-15;null;null;JJV112;123;1;null;null
23124141;36468;2024-11-15;23124141;30332;Prueba performance insertar referrencia 11019;0;null;null;null;21;2024-11-15;null;null;LED195;123;1;null;null
23124142;36468;2024-11-15;23124142;30333;Prueba performance insertar referrencia 11020;0;null;null;null;21;2024-11-15;null;null;MIT123;123;1;null;null
23124143;36468;2024-11-15;23124143;30334;Prueba performance insertar referrencia 11021;0;null;null;null;21;2024-11-15;null;null;QWE000;123;1;null;null
23124144;36468;2024-11-15;23124144;30335;Prueba performance insertar referrencia 11022;0;null;null;null;21;2024-11-15;null;null;RTQ843;123;1;null;null
23124145;36468;2024-11-15;23124145;30336;Prueba performance insertar referrencia 11023;0;null;null;null;21;2024-11-15;null;null;NAJ352;123;1;null;null
23124146;36468;2024-11-15;23124146;30337;Prueba performance insertar referrencia 11024;0;null;null;null;21;2024-11-15;null;null;AJT124;123;1;null;null
23124147;36468;2024-11-15;23124147;30338;Prueba performance insertar referrencia 11025;0;null;null;null;21;2024-11-15;null;null;COA721;123;1;null;null
23124148;36468;2024-11-15;23124148;30339;Prueba performance insertar referrencia 11026;0;null;null;null;21;2024-11-15;null;null;JJV112;123;1;null;null
23124149;36468;2024-11-15;23124149;30340;Prueba performance insertar referrencia 11027;0;null;null;null;21;2024-11-15;null;null;LED195;123;1;null;null
23124150;36468;2024-11-15;23124150;30341;Prueba performance insertar referrencia 11028;0;null;null;null;21;2024-11-15;null;null;MIT123;123;1;null;null
23124151;36468;2024-11-15;23124151;30342;Prueba performance insertar referrencia 11029;0;null;null;null;21;2024-11-15;null;null;QWE000;123;1;null;null
23124152;36468;2024-11-15;23124152;30343;Prueba performance insertar referrencia 11030;0;null;null;null;21;2024-11-15;null;null;RTQ843;123;1;null;null
23124153;36468;2024-11-15;23124153;30344;Prueba performance insertar referrencia 11031;0;null;null;null;21;2024-11-15;null;null;NAJ352;123;1;null;null
23124154;36468;2024-11-15;23124154;30345;Prueba performance insertar referrencia 11032;0;null;null;null;21;2024-11-15;null;null;AJT124;123;1;null;null
23124155;36468;2024-11-15;23124155;30346;Prueba performance insertar referrencia 11033;0;null;null;null;21;2024-11-15;null;null;COA721;123;1;null;null
23124156;36468;2024-11-15;23124156;30347;Prueba performance insertar referrencia 11034;0;null;null;null;21;2024-11-15;null;null;JJV112;123;1;null;null
23124157;36468;2024-11-15;23124157;30348;Prueba performance insertar referrencia 11035;0;null;null;null;21;2024-11-15;null;null;LED195;123;1;null;null
23124158;36468;2024-11-15;23124158;30349;Prueba performance insertar referrencia 11036;0;null;null;null;21;2024-11-15;null;null;MIT123;123;1;null;null
23124159;36468;2024-11-15;23124159;30350;Prueba performance insertar referrencia 11037;0;null;null;null;21;2024-11-15;null;null;QWE000;123;1;null;null
23124160;36468;2024-11-15;23124160;30351;Prueba performance insertar referrencia 11038;0;null;null;null;21;2024-11-15;null;null;RTQ843;123;1;null;null
23124161;36468;2024-11-15;23124161;30352;Prueba performance insertar referrencia 11039;0;null;null;null;21;2024-11-15;null;null;NAJ352;123;1;null;null
23124162;36468;2024-11-15;23124162;30353;Prueba performance insertar referrencia 11040;0;null;null;null;21;2024-11-15;null;null;AJT124;123;1;null;null
23124163;36468;2024-11-15;23124163;30354;Prueba performance insertar referrencia 11041;0;null;null;null;21;2024-11-15;null;null;COA721;123;1;null;null
23124164;36468;2024-11-15;23124164;30355;Prueba performance insertar referrencia 11042;0;null;null;null;21;2024-11-15;null;null;JJV112;123;1;null;null
23124165;36468;2024-11-15;23124165;30356;Prueba performance insertar referrencia 11043;0;null;null;null;21;2024-11-15;null;null;LED195;123;1;null;null
23124166;36468;2024-11-15;23124166;30357;Prueba performance insertar referrencia 11044;0;null;null;null;21;2024-11-15;null;null;MIT123;123;1;null;null
23124167;36468;2024-11-15;23124167;30358;Prueba performance insertar referrencia 11045;0;null;null;null;21;2024-11-15;null;null;QWE000;123;1;null;null
23124168;36468;2024-11-15;23124168;30359;Prueba performance insertar referrencia 11046;0;null;null;null;21;2024-11-15;null;null;RTQ843;123;1;null;null
23124169;36468;2024-11-15;23124169;30360;Prueba performance insertar referrencia 11047;0;null;null;null;21;2024-11-15;null;null;NAJ352;123;1;null;null
23124170;36468;2024-11-15;23124170;30361;Prueba performance insertar referrencia 11048;0;null;null;null;21;2024-11-15;null;null;AJT124;123;1;null;null
23124171;36468;2024-11-15;23124171;30362;Prueba performance insertar referrencia 11049;0;null;null;null;21;2024-11-15;null;null;COA721;123;1;null;null
23124172;36468;2024-11-15;23124172;30363;Prueba performance insertar referrencia 11050;0;null;null;null;21;2024-11-15;null;null;JJV112;123;1;null;null
23124173;36468;2024-11-15;23124173;30364;Prueba performance insertar referrencia 11051;0;null;null;null;21;2024-11-15;null;null;LED195;123;1;null;null
23124174;36468;2024-11-15;23124174;30365;Prueba performance insertar referrencia 11052;0;null;null;null;21;2024-11-15;null;null;MIT123;123;1;null;null
23124175;36468;2024-11-15;23124175;30366;Prueba performance insertar referrencia 11053;0;null;null;null;21;2024-11-15;null;null;QWE000;123;1;null;null
23124176;36468;2024-11-15;23124176;30367;Prueba performance insertar referrencia 11054;0;null;null;null;21;2024-11-15;null;null;RTQ843;123;1;null;null
23124177;36468;2024-11-15;23124177;30368;Prueba performance insertar referrencia 11055;0;null;null;null;21;2024-11-15;null;null;NAJ352;123;1;null;null
23124178;36468;2024-11-15;23124178;30369;Prueba performance insertar referrencia 11056;0;null;null;null;21;2024-11-15;null;null;AJT124;123;1;null;null
23124179;36468;2024-11-15;23124179;30370;Prueba performance insertar referrencia 11057;0;null;null;null;21;2024-11-15;null;null;COA721;123;1;null;null
23124180;36468;2024-11-15;23124180;30371;Prueba performance insertar referrencia 11058;0;null;null;null;21;2024-11-15;null;null;JJV112;123;1;null;null
23124181;36468;2024-11-15;23124181;30372;Prueba performance insertar referrencia 11059;0;null;null;null;21;2024-11-15;null;null;LED195;123;1;null;null
23124182;36468;2024-11-15;23124182;30373;Prueba performance insertar referrencia 11060;0;null;null;null;21;2024-11-15;null;null;MIT123;123;1;null;null
23124183;36468;2024-11-15;23124183;30374;Prueba performance insertar referrencia 11061;0;null;null;null;21;2024-11-15;null;null;QWE000;123;1;null;null
23124184;36468;2024-11-15;23124184;30375;Prueba performance insertar referrencia 11062;0;null;null;null;21;2024-11-15;null;null;RTQ843;123;1;null;null
23124185;36468;2024-11-15;23124185;30376;Prueba performance insertar referrencia 11063;0;null;null;null;21;2024-11-15;null;null;NAJ352;123;1;null;null
23124186;36468;2024-11-15;23124186;30377;Prueba performance insertar referrencia 11064;0;null;null;null;21;2024-11-15;null;null;AJT124;123;1;null;null
23124187;36468;2024-11-15;23124187;30378;Prueba performance insertar referrencia 11065;0;null;null;null;21;2024-11-15;null;null;COA721;123;1;null;null
23124188;36468;2024-11-15;23124188;30379;Prueba performance insertar referrencia 11066;0;null;null;null;21;2024-11-15;null;null;JJV112;123;1;null;null
23124189;36468;2024-11-15;23124189;30380;Prueba performance insertar referrencia 11067;0;null;null;null;21;2024-11-15;null;null;LED195;123;1;null;null
23124190;36468;2024-11-15;23124190;30381;Prueba performance insertar referrencia 11068;0;null;null;null;21;2024-11-15;null;null;MIT123;123;1;null;null
23124191;36468;2024-11-15;23124191;30382;Prueba performance insertar referrencia 11069;0;null;null;null;21;2024-11-15;null;null;QWE000;123;1;null;null
23124192;36468;2024-11-15;23124192;30383;Prueba performance insertar referrencia 11070;0;null;null;null;21;2024-11-15;null;null;RTQ843;123;1;null;null
23124193;36468;2024-11-15;23124193;30384;Prueba performance insertar referrencia 11071;0;null;null;null;21;2024-11-15;null;null;NAJ352;123;1;null;null
23124194;36468;2024-11-15;23124194;30385;Prueba performance insertar referrencia 11072;0;null;null;null;21;2024-11-15;null;null;AJT124;123;1;null;null
23124195;36468;2024-11-15;23124195;30386;Prueba performance insertar referrencia 11073;0;null;null;null;21;2024-11-15;null;null;COA721;123;1;null;null
23124196;36468;2024-11-15;23124196;30387;Prueba performance insertar referrencia 11074;0;null;null;null;21;2024-11-15;null;null;JJV112;123;1;null;null
23124197;36468;2024-11-15;23124197;30388;Prueba performance insertar referrencia 11075;0;null;null;null;21;2024-11-15;null;null;LED195;123;1;null;null
23124198;36468;2024-11-15;23124198;30389;Prueba performance insertar referrencia 11076;0;null;null;null;21;2024-11-15;null;null;MIT123;123;1;null;null
23124199;36468;2024-11-15;23124199;30390;Prueba performance insertar referrencia 11077;0;null;null;null;21;2024-11-15;null;null;QWE000;123;1;null;null
23124200;36468;2024-11-15;23124200;30391;Prueba performance insertar referrencia 11078;0;null;null;null;21;2024-11-15;null;null;RTQ843;123;1;null;null
23124201;36468;2024-11-15;23124201;30392;Prueba performance insertar referrencia 11079;0;null;null;null;21;2024-11-15;null;null;NAJ352;123;1;null;null
23124202;36468;2024-11-15;23124202;30393;Prueba performance insertar referrencia 11080;0;null;null;null;21;2024-11-15;null;null;AJT124;123;1;null;null
23124203;36468;2024-11-15;23124203;30394;Prueba performance insertar referrencia 11081;0;null;null;null;21;2024-11-15;null;null;COA721;123;1;null;null
23124204;36468;2024-11-15;23124204;30395;Prueba performance insertar referrencia 11082;0;null;null;null;21;2024-11-15;null;null;JJV112;123;1;null;null
23124205;36468;2024-11-15;23124205;30396;Prueba performance insertar referrencia 11083;0;null;null;null;21;2024-11-15;null;null;LED195;123;1;null;null
23124206;36468;2024-11-15;23124206;30397;Prueba performance insertar referrencia 11084;0;null;null;null;21;2024-11-15;null;null;MIT123;123;1;null;null
23124207;36468;2024-11-15;23124207;30398;Prueba performance insertar referrencia 11085;0;null;null;null;21;2024-11-15;null;null;QWE000;123;1;null;null
23124208;36468;2024-11-15;23124208;30399;Prueba performance insertar referrencia 11086;0;null;null;null;21;2024-11-15;null;null;RTQ843;123;1;null;null
23124209;36468;2024-11-15;23124209;30400;Prueba performance insertar referrencia 11087;0;null;null;null;21;2024-11-15;null;null;NAJ352;123;1;null;null
23124210;36468;2024-11-15;23124210;30401;Prueba performance insertar referrencia 11088;0;null;null;null;21;2024-11-15;null;null;AJT124;123;1;null;null
23124211;36468;2024-11-15;23124211;30402;Prueba performance insertar referrencia 11089;0;null;null;null;21;2024-11-15;null;null;COA721;123;1;null;null
23124212;36468;2024-11-15;23124212;30403;Prueba performance insertar referrencia 11090;0;null;null;null;21;2024-11-15;null;null;JJV112;123;1;null;null
23124213;36468;2024-11-15;23124213;30404;Prueba performance insertar referrencia 11091;0;null;null;null;21;2024-11-15;null;null;LED195;123;1;null;null
23124214;36468;2024-11-15;23124214;30405;Prueba performance insertar referrencia 11092;0;null;null;null;21;2024-11-15;null;null;MIT123;123;1;null;null
23124215;36468;2024-11-15;23124215;30406;Prueba performance insertar referrencia 11093;0;null;null;null;21;2024-11-15;null;null;QWE000;123;1;null;null
23124216;36468;2024-11-15;23124216;30407;Prueba performance insertar referrencia 11094;0;null;null;null;21;2024-11-15;null;null;RTQ843;123;1;null;null
23124217;36468;2024-11-15;23124217;30408;Prueba performance insertar referrencia 11095;0;null;null;null;21;2024-11-15;null;null;NAJ352;123;1;null;null
23124218;36468;2024-11-15;23124218;30409;Prueba performance insertar referrencia 11096;0;null;null;null;21;2024-11-15;null;null;AJT124;123;1;null;null
23124219;36468;2024-11-15;23124219;30410;Prueba performance insertar referrencia 11097;0;null;null;null;21;2024-11-15;null;null;COA721;123;1;null;null
23124220;36468;2024-11-15;23124220;30411;Prueba performance insertar referrencia 11098;0;null;null;null;21;2024-11-15;null;null;JJV112;123;1;null;null
23124221;36468;2024-11-15;23124221;30412;Prueba performance insertar referrencia 11099;0;null;null;null;21;2024-11-15;null;null;LED195;123;1;null;null
23124222;36468;2024-11-15;23124222;30413;Prueba performance insertar referrencia 11100;0;null;null;null;21;2024-11-15;null;null;MIT123;123;1;null;null
23124223;36468;2024-11-15;23124223;30414;Prueba performance insertar referrencia 11101;0;null;null;null;21;2024-11-15;null;null;QWE000;123;1;null;null
23124224;36468;2024-11-15;23124224;30415;Prueba performance insertar referrencia 11102;0;null;null;null;21;2024-11-15;null;null;RTQ843;123;1;null;null
23124225;36468;2024-11-15;23124225;30416;Prueba performance insertar referrencia 11103;0;null;null;null;21;2024-11-15;null;null;NAJ352;123;1;null;null
23124226;36468;2024-11-15;23124226;30417;Prueba performance insertar referrencia 11104;0;null;null;null;21;2024-11-15;null;null;AJT124;123;1;null;null
23124227;36468;2024-11-15;23124227;30418;Prueba performance insertar referrencia 11105;0;null;null;null;21;2024-11-15;null;null;COA721;123;1;null;null
23124228;36468;2024-11-15;23124228;30419;Prueba performance insertar referrencia 11106;0;null;null;null;21;2024-11-15;null;null;JJV112;123;1;null;null
23124229;36468;2024-11-15;23124229;30420;Prueba performance insertar referrencia 11107;0;null;null;null;21;2024-11-15;null;null;LED195;123;1;null;null
23124230;36468;2024-11-15;23124230;30421;Prueba performance insertar referrencia 11108;0;null;null;null;21;2024-11-15;null;null;MIT123;123;1;null;null
23124231;36468;2024-11-15;23124231;30422;Prueba performance insertar referrencia 11109;0;null;null;null;21;2024-11-15;null;null;QWE000;123;1;null;null
23124232;36468;2024-11-15;23124232;30423;Prueba performance insertar referrencia 11110;0;null;null;null;21;2024-11-15;null;null;RTQ843;123;1;null;null
23124233;36468;2024-11-15;23124233;30424;Prueba performance insertar referrencia 11111;0;null;null;null;21;2024-11-15;null;null;NAJ352;123;1;null;null
23124234;36468;2024-11-15;23124234;30425;Prueba performance insertar referrencia 11112;0;null;null;null;21;2024-11-15;null;null;AJT124;123;1;null;null
23124235;36468;2024-11-15;23124235;30426;Prueba performance insertar referrencia 11113;0;null;null;null;21;2024-11-15;null;null;COA721;123;1;null;null
23124236;36468;2024-11-15;23124236;30427;Prueba performance insertar referrencia 11114;0;null;null;null;21;2024-11-15;null;null;JJV112;123;1;null;null
23124237;36468;2024-11-15;23124237;30428;Prueba performance insertar referrencia 11115;0;null;null;null;21;2024-11-15;null;null;LED195;123;1;null;null
23124238;36468;2024-11-15;23124238;30429;Prueba performance insertar referrencia 11116;0;null;null;null;21;2024-11-15;null;null;MIT123;123;1;null;null
23124239;36468;2024-11-15;23124239;30430;Prueba performance insertar referrencia 11117;0;null;null;null;21;2024-11-15;null;null;QWE000;123;1;null;null
23124240;36468;2024-11-15;23124240;30431;Prueba performance insertar referrencia 11118;0;null;null;null;21;2024-11-15;null;null;RTQ843;123;1;null;null
23124241;36468;2024-11-15;23124241;30432;Prueba performance insertar referrencia 11119;0;null;null;null;21;2024-11-15;null;null;NAJ352;123;1;null;null
23124242;36468;2024-11-15;23124242;30433;Prueba performance insertar referrencia 11120;0;null;null;null;21;2024-11-15;null;null;AJT124;123;1;null;null
23124243;36468;2024-11-15;23124243;30434;Prueba performance insertar referrencia 11121;0;null;null;null;21;2024-11-15;null;null;COA721;123;1;null;null
23124244;36468;2024-11-15;23124244;30435;Prueba performance insertar referrencia 11122;0;null;null;null;21;2024-11-15;null;null;JJV112;123;1;null;null
23124245;36468;2024-11-15;23124245;30436;Prueba performance insertar referrencia 11123;0;null;null;null;21;2024-11-15;null;null;LED195;123;1;null;null
23124246;36468;2024-11-15;23124246;30437;Prueba performance insertar referrencia 11124;0;null;null;null;21;2024-11-15;null;null;MIT123;123;1;null;null
23124247;36468;2024-11-15;23124247;30438;Prueba performance insertar referrencia 11125;0;null;null;null;21;2024-11-15;null;null;QWE000;123;1;null;null
23124248;36468;2024-11-15;23124248;30439;Prueba performance insertar referrencia 11126;0;null;null;null;21;2024-11-15;null;null;RTQ843;123;1;null;null
23124249;36468;2024-11-15;23124249;30440;Prueba performance insertar referrencia 11127;0;null;null;null;21;2024-11-15;null;null;NAJ352;123;1;null;null
23124250;36468;2024-11-15;23124250;30441;Prueba performance insertar referrencia 11128;0;null;null;null;21;2024-11-15;null;null;AJT124;123;1;null;null
23124251;36468;2024-11-15;23124251;30442;Prueba performance insertar referrencia 11129;0;null;null;null;21;2024-11-15;null;null;COA721;123;1;null;null
23124252;36468;2024-11-15;23124252;30443;Prueba performance insertar referrencia 11130;0;null;null;null;21;2024-11-15;null;null;JJV112;123;1;null;null
23124253;36468;2024-11-15;23124253;30444;Prueba performance insertar referrencia 11131;0;null;null;null;21;2024-11-15;null;null;LED195;123;1;null;null
23124254;36468;2024-11-15;23124254;30445;Prueba performance insertar referrencia 11132;0;null;null;null;21;2024-11-15;null;null;MIT123;123;1;null;null
23124255;36468;2024-11-15;23124255;30446;Prueba performance insertar referrencia 11133;0;null;null;null;21;2024-11-15;null;null;QWE000;123;1;null;null
23124256;36468;2024-11-15;23124256;30447;Prueba performance insertar referrencia 11134;0;null;null;null;21;2024-11-15;null;null;RTQ843;123;1;null;null
23124257;36468;2024-11-15;23124257;30448;Prueba performance insertar referrencia 11135;0;null;null;null;21;2024-11-15;null;null;NAJ352;123;1;null;null
23124258;36468;2024-11-15;23124258;30449;Prueba performance insertar referrencia 11136;0;null;null;null;21;2024-11-15;null;null;AJT124;123;1;null;null
23124259;36468;2024-11-15;23124259;30450;Prueba performance insertar referrencia 11137;0;null;null;null;21;2024-11-15;null;null;COA721;123;1;null;null
23124260;36468;2024-11-15;23124260;30451;Prueba performance insertar referrencia 11138;0;null;null;null;21;2024-11-15;null;null;JJV112;123;1;null;null
23124261;36468;2024-11-15;23124261;30452;Prueba performance insertar referrencia 11139;0;null;null;null;21;2024-11-15;null;null;LED195;123;1;null;null
23124262;36468;2024-11-15;23124262;30453;Prueba performance insertar referrencia 11140;0;null;null;null;21;2024-11-15;null;null;MIT123;123;1;null;null
23124263;36468;2024-11-15;23124263;30454;Prueba performance insertar referrencia 11141;0;null;null;null;21;2024-11-15;null;null;QWE000;123;1;null;null
23124264;36468;2024-11-15;23124264;30455;Prueba performance insertar referrencia 11142;0;null;null;null;21;2024-11-15;null;null;RTQ843;123;1;null;null
23124265;36468;2024-11-15;23124265;30456;Prueba performance insertar referrencia 11143;0;null;null;null;21;2024-11-15;null;null;NAJ352;123;1;null;null
23124266;36468;2024-11-15;23124266;30457;Prueba performance insertar referrencia 11144;0;null;null;null;21;2024-11-15;null;null;AJT124;123;1;null;null
23124267;36468;2024-11-15;23124267;30458;Prueba performance insertar referrencia 11145;0;null;null;null;21;2024-11-15;null;null;COA721;123;1;null;null
23124268;36468;2024-11-15;23124268;30459;Prueba performance insertar referrencia 11146;0;null;null;null;21;2024-11-15;null;null;JJV112;123;1;null;null
23124269;36468;2024-11-15;23124269;30460;Prueba performance insertar referrencia 11147;0;null;null;null;21;2024-11-15;null;null;LED195;123;1;null;null
23124270;36468;2024-11-15;23124270;30461;Prueba performance insertar referrencia 11148;0;null;null;null;21;2024-11-15;null;null;MIT123;123;1;null;null
23124271;36468;2024-11-15;23124271;30462;Prueba performance insertar referrencia 11149;0;null;null;null;21;2024-11-15;null;null;QWE000;123;1;null;null
23124272;36468;2024-11-15;23124272;30463;Prueba performance insertar referrencia 11150;0;null;null;null;21;2024-11-15;null;null;RTQ843;123;1;null;null
23124273;36468;2024-11-15;23124273;30464;Prueba performance insertar referrencia 11151;0;null;null;null;21;2024-11-15;null;null;NAJ352;123;1;null;null
23124274;36468;2024-11-15;23124274;30465;Prueba performance insertar referrencia 11152;0;null;null;null;21;2024-11-15;null;null;AJT124;123;1;null;null
23124275;36468;2024-11-15;23124275;30466;Prueba performance insertar referrencia 11153;0;null;null;null;21;2024-11-15;null;null;COA721;123;1;null;null
23124276;36468;2024-11-15;23124276;30467;Prueba performance insertar referrencia 11154;0;null;null;null;21;2024-11-15;null;null;JJV112;123;1;null;null
23124277;36468;2024-11-15;23124277;30468;Prueba performance insertar referrencia 11155;0;null;null;null;21;2024-11-15;null;null;LED195;123;1;null;null
23124278;36468;2024-11-15;23124278;30469;Prueba performance insertar referrencia 11156;0;null;null;null;21;2024-11-15;null;null;MIT123;123;1;null;null
23124279;36468;2024-11-15;23124279;30470;Prueba performance insertar referrencia 11157;0;null;null;null;21;2024-11-15;null;null;QWE000;123;1;null;null
23124280;36468;2024-11-15;23124280;30471;Prueba performance insertar referrencia 11158;0;null;null;null;21;2024-11-15;null;null;RTQ843;123;1;null;null
23124281;36468;2024-11-15;23124281;30472;Prueba performance insertar referrencia 11159;0;null;null;null;21;2024-11-15;null;null;NAJ352;123;1;null;null
23124282;36468;2024-11-15;23124282;30473;Prueba performance insertar referrencia 11160;0;null;null;null;21;2024-11-15;null;null;AJT124;123;1;null;null
23124283;36468;2024-11-15;23124283;30474;Prueba performance insertar referrencia 11161;0;null;null;null;21;2024-11-15;null;null;COA721;123;1;null;null
23124284;36468;2024-11-15;23124284;30475;Prueba performance insertar referrencia 11162;0;null;null;null;21;2024-11-15;null;null;JJV112;123;1;null;null
23124285;36468;2024-11-15;23124285;30476;Prueba performance insertar referrencia 11163;0;null;null;null;21;2024-11-15;null;null;LED195;123;1;null;null
23124286;36468;2024-11-15;23124286;30477;Prueba performance insertar referrencia 11164;0;null;null;null;21;2024-11-15;null;null;MIT123;123;1;null;null
23124287;36468;2024-11-15;23124287;30478;Prueba performance insertar referrencia 11165;0;null;null;null;21;2024-11-15;null;null;QWE000;123;1;null;null
23124288;36468;2024-11-15;23124288;30479;Prueba performance insertar referrencia 11166;0;null;null;null;21;2024-11-15;null;null;RTQ843;123;1;null;null
23124289;36468;2024-11-15;23124289;30480;Prueba performance insertar referrencia 11167;0;null;null;null;21;2024-11-15;null;null;NAJ352;123;1;null;null
23124290;36468;2024-11-15;23124290;30481;Prueba performance insertar referrencia 11168;0;null;null;null;21;2024-11-15;null;null;AJT124;123;1;null;null
23124291;36468;2024-11-15;23124291;30482;Prueba performance insertar referrencia 11169;0;null;null;null;21;2024-11-15;null;null;COA721;123;1;null;null
23124292;36468;2024-11-15;23124292;30483;Prueba performance insertar referrencia 11170;0;null;null;null;21;2024-11-15;null;null;JJV112;123;1;null;null
23124293;36468;2024-11-15;23124293;30484;Prueba performance insertar referrencia 11171;0;null;null;null;21;2024-11-15;null;null;LED195;123;1;null;null
23124294;36468;2024-11-15;23124294;30485;Prueba performance insertar referrencia 11172;0;null;null;null;21;2024-11-15;null;null;MIT123;123;1;null;null
23124295;36468;2024-11-15;23124295;30486;Prueba performance insertar referrencia 11173;0;null;null;null;21;2024-11-15;null;null;QWE000;123;1;null;null
23124296;36468;2024-11-15;23124296;30487;Prueba performance insertar referrencia 11174;0;null;null;null;21;2024-11-15;null;null;RTQ843;123;1;null;null
23124297;36468;2024-11-15;23124297;30488;Prueba performance insertar referrencia 11175;0;null;null;null;21;2024-11-15;null;null;NAJ352;123;1;null;null
23124298;36468;2024-11-15;23124298;30489;Prueba performance insertar referrencia 11176;0;null;null;null;21;2024-11-15;null;null;AJT124;123;1;null;null
23124299;36468;2024-11-15;23124299;30490;Prueba performance insertar referrencia 11177;0;null;null;null;21;2024-11-15;null;null;COA721;123;1;null;null
23124300;36468;2024-11-15;23124300;30491;Prueba performance insertar referrencia 11178;0;null;null;null;21;2024-11-15;null;null;JJV112;123;1;null;null
23124301;36468;2024-11-15;23124301;30492;Prueba performance insertar referrencia 11179;0;null;null;null;21;2024-11-15;null;null;LED195;123;1;null;null
23124302;36468;2024-11-15;23124302;30493;Prueba performance insertar referrencia 11180;0;null;null;null;21;2024-11-15;null;null;MIT123;123;1;null;null
23124303;36468;2024-11-15;23124303;30494;Prueba performance insertar referrencia 11181;0;null;null;null;21;2024-11-15;null;null;QWE000;123;1;null;null
23124304;36468;2024-11-15;23124304;30495;Prueba performance insertar referrencia 11182;0;null;null;null;21;2024-11-15;null;null;RTQ843;123;1;null;null
23124305;36468;2024-11-15;23124305;30496;Prueba performance insertar referrencia 11183;0;null;null;null;21;2024-11-15;null;null;NAJ352;123;1;null;null
23124306;36468;2024-11-15;23124306;30497;Prueba performance insertar referrencia 11184;0;null;null;null;21;2024-11-15;null;null;AJT124;123;1;null;null
23124307;36468;2024-11-15;23124307;30498;Prueba performance insertar referrencia 11185;0;null;null;null;21;2024-11-15;null;null;COA721;123;1;null;null
23124308;36468;2024-11-15;23124308;30499;Prueba performance insertar referrencia 11186;0;null;null;null;21;2024-11-15;null;null;JJV112;123;1;null;null
23124309;36468;2024-11-15;23124309;30500;Prueba performance insertar referrencia 11187;0;null;null;null;21;2024-11-15;null;null;LED195;123;1;null;null
23124310;36468;2024-11-15;23124310;30501;Prueba performance insertar referrencia 11188;0;null;null;null;21;2024-11-15;null;null;MIT123;123;1;null;null
