cdmvto_sinc_billeteraIAR;cdusuarioIAR;femvtoIAR;cdnumero_transaccionIAR;vrmvtoIAR;dsdescripcion_mvtoIAR;cdtipo_mvtoIAR;cdtipo_ajusteIAR;cdorigen_ajusteIAR;cdmvto_relacionIAR;cdusuario_ingresaIAR;feingresaIAR;femodificaIAR;cdmovimiento_referenciaIAR;dsplacaIAR;cdpunto_atencionIAR;cdtipo_consumoIAR;vrajusteIAR;cdajusteIAR
8170273;39765;2024-11-15;8170273;30363;Prueba performance insertar ajuste de recarga 11021;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170274;39766;2024-11-15;8170274;30364;Prueba performance insertar ajuste de recarga 11022;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170275;39763;2024-11-15;8170275;30365;Prueba performance insertar ajuste de recarga 11023;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170276;39763;2024-11-15;8170276;30366;Prueba performance insertar ajuste de recarga 11024;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170277;39764;2024-11-15;8170277;30367;Prueba performance insertar ajuste de recarga 11025;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170278;39765;2024-11-15;8170278;30368;Prueba performance insertar ajuste de recarga 11026;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170279;39766;2024-11-15;8170279;30369;Prueba performance insertar ajuste de recarga 11027;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170280;39763;2024-11-15;8170280;30370;Prueba performance insertar ajuste de recarga 11028;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170281;39763;2024-11-15;8170281;30371;Prueba performance insertar ajuste de recarga 11029;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170282;39764;2024-11-15;8170282;30372;Prueba performance insertar ajuste de recarga 11030;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170283;39765;2024-11-15;8170283;30373;Prueba performance insertar ajuste de recarga 11031;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170284;39766;2024-11-15;8170284;30374;Prueba performance insertar ajuste de recarga 11032;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170285;39763;2024-11-15;8170285;30375;Prueba performance insertar ajuste de recarga 11033;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170286;39763;2024-11-15;8170286;30376;Prueba performance insertar ajuste de recarga 11034;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170287;39764;2024-11-15;8170287;30377;Prueba performance insertar ajuste de recarga 11035;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170288;39765;2024-11-15;8170288;30378;Prueba performance insertar ajuste de recarga 11036;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170289;39766;2024-11-15;8170289;30379;Prueba performance insertar ajuste de recarga 11037;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170290;39763;2024-11-15;8170290;30380;Prueba performance insertar ajuste de recarga 11038;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170291;39763;2024-11-15;8170291;30381;Prueba performance insertar ajuste de recarga 11039;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170292;39764;2024-11-15;8170292;30382;Prueba performance insertar ajuste de recarga 11040;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170293;39765;2024-11-15;8170293;30383;Prueba performance insertar ajuste de recarga 11041;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170294;39766;2024-11-15;8170294;30384;Prueba performance insertar ajuste de recarga 11042;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170295;39763;2024-11-15;8170295;30385;Prueba performance insertar ajuste de recarga 11043;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170296;39763;2024-11-15;8170296;30386;Prueba performance insertar ajuste de recarga 11044;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170297;39764;2024-11-15;8170297;30387;Prueba performance insertar ajuste de recarga 11045;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170298;39765;2024-11-15;8170298;30388;Prueba performance insertar ajuste de recarga 11046;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170299;39766;2024-11-15;8170299;30389;Prueba performance insertar ajuste de recarga 11047;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170300;39763;2024-11-15;8170300;30390;Prueba performance insertar ajuste de recarga 11048;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170301;39763;2024-11-15;8170301;30391;Prueba performance insertar ajuste de recarga 11049;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170302;39764;2024-11-15;8170302;30392;Prueba performance insertar ajuste de recarga 11050;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170303;39765;2024-11-15;8170303;30393;Prueba performance insertar ajuste de recarga 11051;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170304;39766;2024-11-15;8170304;30394;Prueba performance insertar ajuste de recarga 11052;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170305;39763;2024-11-15;8170305;30395;Prueba performance insertar ajuste de recarga 11053;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170306;39763;2024-11-15;8170306;30396;Prueba performance insertar ajuste de recarga 11054;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170307;39764;2024-11-15;8170307;30397;Prueba performance insertar ajuste de recarga 11055;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170308;39765;2024-11-15;8170308;30398;Prueba performance insertar ajuste de recarga 11056;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170309;39766;2024-11-15;8170309;30399;Prueba performance insertar ajuste de recarga 11057;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170310;39763;2024-11-15;8170310;30400;Prueba performance insertar ajuste de recarga 11058;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170311;39763;2024-11-15;8170311;30401;Prueba performance insertar ajuste de recarga 11059;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170312;39764;2024-11-15;8170312;30402;Prueba performance insertar ajuste de recarga 11060;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170313;39765;2024-11-15;8170313;30403;Prueba performance insertar ajuste de recarga 11061;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170314;39766;2024-11-15;8170314;30404;Prueba performance insertar ajuste de recarga 11062;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170315;39763;2024-11-15;8170315;30405;Prueba performance insertar ajuste de recarga 11063;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170316;39763;2024-11-15;8170316;30406;Prueba performance insertar ajuste de recarga 11064;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170317;39764;2024-11-15;8170317;30407;Prueba performance insertar ajuste de recarga 11065;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170318;39765;2024-11-15;8170318;30408;Prueba performance insertar ajuste de recarga 11066;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170319;39766;2024-11-15;8170319;30409;Prueba performance insertar ajuste de recarga 11067;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170320;39763;2024-11-15;8170320;30410;Prueba performance insertar ajuste de recarga 11068;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170321;39763;2024-11-15;8170321;30411;Prueba performance insertar ajuste de recarga 11069;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170322;39764;2024-11-15;8170322;30412;Prueba performance insertar ajuste de recarga 11070;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170323;39765;2024-11-15;8170323;30413;Prueba performance insertar ajuste de recarga 11071;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170324;39766;2024-11-15;8170324;30414;Prueba performance insertar ajuste de recarga 11072;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170325;39763;2024-11-15;8170325;30415;Prueba performance insertar ajuste de recarga 11073;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170326;39763;2024-11-15;8170326;30416;Prueba performance insertar ajuste de recarga 11074;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170327;39764;2024-11-15;8170327;30417;Prueba performance insertar ajuste de recarga 11075;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170328;39765;2024-11-15;8170328;30418;Prueba performance insertar ajuste de recarga 11076;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170329;39766;2024-11-15;8170329;30419;Prueba performance insertar ajuste de recarga 11077;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170330;39763;2024-11-15;8170330;30420;Prueba performance insertar ajuste de recarga 11078;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170331;39763;2024-11-15;8170331;30421;Prueba performance insertar ajuste de recarga 11079;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170332;39764;2024-11-15;8170332;30422;Prueba performance insertar ajuste de recarga 11080;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170333;39765;2024-11-15;8170333;30423;Prueba performance insertar ajuste de recarga 11081;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170334;39766;2024-11-15;8170334;30424;Prueba performance insertar ajuste de recarga 11082;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170335;39763;2024-11-15;8170335;30425;Prueba performance insertar ajuste de recarga 11083;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170336;39763;2024-11-15;8170336;30426;Prueba performance insertar ajuste de recarga 11084;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170337;39764;2024-11-15;8170337;30427;Prueba performance insertar ajuste de recarga 11085;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170338;39765;2024-11-15;8170338;30428;Prueba performance insertar ajuste de recarga 11086;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170339;39766;2024-11-15;8170339;30429;Prueba performance insertar ajuste de recarga 11087;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170340;39763;2024-11-15;8170340;30430;Prueba performance insertar ajuste de recarga 11088;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170341;39763;2024-11-15;8170341;30431;Prueba performance insertar ajuste de recarga 11089;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170342;39764;2024-11-15;8170342;30432;Prueba performance insertar ajuste de recarga 11090;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170343;39765;2024-11-15;8170343;30433;Prueba performance insertar ajuste de recarga 11091;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170344;39766;2024-11-15;8170344;30434;Prueba performance insertar ajuste de recarga 11092;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170345;39763;2024-11-15;8170345;30435;Prueba performance insertar ajuste de recarga 11093;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170346;39763;2024-11-15;8170346;30436;Prueba performance insertar ajuste de recarga 11094;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170347;39764;2024-11-15;8170347;30437;Prueba performance insertar ajuste de recarga 11095;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170348;39765;2024-11-15;8170348;30438;Prueba performance insertar ajuste de recarga 11096;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170349;39766;2024-11-15;8170349;30439;Prueba performance insertar ajuste de recarga 11097;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170350;39763;2024-11-15;8170350;30440;Prueba performance insertar ajuste de recarga 11098;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170351;39763;2024-11-15;8170351;30441;Prueba performance insertar ajuste de recarga 11099;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170352;39764;2024-11-15;8170352;30442;Prueba performance insertar ajuste de recarga 11100;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170353;39765;2024-11-15;8170353;30443;Prueba performance insertar ajuste de recarga 11101;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170354;39766;2024-11-15;8170354;30444;Prueba performance insertar ajuste de recarga 11102;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170355;39763;2024-11-15;8170355;30445;Prueba performance insertar ajuste de recarga 11103;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170356;39763;2024-11-15;8170356;30446;Prueba performance insertar ajuste de recarga 11104;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170357;39764;2024-11-15;8170357;30447;Prueba performance insertar ajuste de recarga 11105;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170358;39765;2024-11-15;8170358;30448;Prueba performance insertar ajuste de recarga 11106;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170359;39766;2024-11-15;8170359;30449;Prueba performance insertar ajuste de recarga 11107;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170360;39763;2024-11-15;8170360;30450;Prueba performance insertar ajuste de recarga 11108;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170361;39763;2024-11-15;8170361;30451;Prueba performance insertar ajuste de recarga 11109;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170362;39764;2024-11-15;8170362;30452;Prueba performance insertar ajuste de recarga 11110;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170363;39765;2024-11-15;8170363;30453;Prueba performance insertar ajuste de recarga 11111;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170364;39766;2024-11-15;8170364;30454;Prueba performance insertar ajuste de recarga 11112;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170365;39763;2024-11-15;8170365;30455;Prueba performance insertar ajuste de recarga 11113;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170366;39763;2024-11-15;8170366;30456;Prueba performance insertar ajuste de recarga 11114;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170367;39764;2024-11-15;8170367;30457;Prueba performance insertar ajuste de recarga 11115;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170368;39765;2024-11-15;8170368;30458;Prueba performance insertar ajuste de recarga 11116;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170369;39766;2024-11-15;8170369;30459;Prueba performance insertar ajuste de recarga 11117;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170370;39763;2024-11-15;8170370;30460;Prueba performance insertar ajuste de recarga 11118;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170371;39763;2024-11-15;8170371;30461;Prueba performance insertar ajuste de recarga 11119;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170372;39764;2024-11-15;8170372;30462;Prueba performance insertar ajuste de recarga 11120;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170373;39765;2024-11-15;8170373;30463;Prueba performance insertar ajuste de recarga 11121;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170374;39766;2024-11-15;8170374;30464;Prueba performance insertar ajuste de recarga 11122;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170375;39763;2024-11-15;8170375;30465;Prueba performance insertar ajuste de recarga 11123;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170376;39763;2024-11-15;8170376;30466;Prueba performance insertar ajuste de recarga 11124;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170377;39764;2024-11-15;8170377;30467;Prueba performance insertar ajuste de recarga 11125;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170378;39765;2024-11-15;8170378;30468;Prueba performance insertar ajuste de recarga 11126;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170379;39766;2024-11-15;8170379;30469;Prueba performance insertar ajuste de recarga 11127;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170380;39763;2024-11-15;8170380;30470;Prueba performance insertar ajuste de recarga 11128;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170381;39763;2024-11-15;8170381;30471;Prueba performance insertar ajuste de recarga 11129;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170382;39764;2024-11-15;8170382;30472;Prueba performance insertar ajuste de recarga 11130;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170383;39765;2024-11-15;8170383;30473;Prueba performance insertar ajuste de recarga 11131;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170384;39766;2024-11-15;8170384;30474;Prueba performance insertar ajuste de recarga 11132;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170385;39763;2024-11-15;8170385;30475;Prueba performance insertar ajuste de recarga 11133;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170386;39763;2024-11-15;8170386;30476;Prueba performance insertar ajuste de recarga 11134;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170387;39764;2024-11-15;8170387;30477;Prueba performance insertar ajuste de recarga 11135;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170388;39765;2024-11-15;8170388;30478;Prueba performance insertar ajuste de recarga 11136;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170389;39766;2024-11-15;8170389;30479;Prueba performance insertar ajuste de recarga 11137;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170390;39763;2024-11-15;8170390;30480;Prueba performance insertar ajuste de recarga 11138;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170391;39763;2024-11-15;8170391;30481;Prueba performance insertar ajuste de recarga 11139;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170392;39764;2024-11-15;8170392;30482;Prueba performance insertar ajuste de recarga 11140;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170393;39765;2024-11-15;8170393;30483;Prueba performance insertar ajuste de recarga 11141;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170394;39766;2024-11-15;8170394;30484;Prueba performance insertar ajuste de recarga 11142;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170395;39763;2024-11-15;8170395;30485;Prueba performance insertar ajuste de recarga 11143;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170396;39763;2024-11-15;8170396;30486;Prueba performance insertar ajuste de recarga 11144;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170397;39764;2024-11-15;8170397;30487;Prueba performance insertar ajuste de recarga 11145;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170398;39765;2024-11-15;8170398;30488;Prueba performance insertar ajuste de recarga 11146;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170399;39766;2024-11-15;8170399;30489;Prueba performance insertar ajuste de recarga 11147;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170400;39763;2024-11-15;8170400;30490;Prueba performance insertar ajuste de recarga 11148;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170401;39763;2024-11-15;8170401;30491;Prueba performance insertar ajuste de recarga 11149;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170402;39764;2024-11-15;8170402;30492;Prueba performance insertar ajuste de recarga 11150;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170403;39765;2024-11-15;8170403;30493;Prueba performance insertar ajuste de recarga 11151;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170404;39766;2024-11-15;8170404;30494;Prueba performance insertar ajuste de recarga 11152;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170405;39763;2024-11-15;8170405;30495;Prueba performance insertar ajuste de recarga 11153;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170406;39763;2024-11-15;8170406;30496;Prueba performance insertar ajuste de recarga 11154;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170407;39764;2024-11-15;8170407;30497;Prueba performance insertar ajuste de recarga 11155;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170408;39765;2024-11-15;8170408;30498;Prueba performance insertar ajuste de recarga 11156;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170409;39766;2024-11-15;8170409;30499;Prueba performance insertar ajuste de recarga 11157;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170410;39763;2024-11-15;8170410;30500;Prueba performance insertar ajuste de recarga 11158;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170411;39763;2024-11-15;8170411;30501;Prueba performance insertar ajuste de recarga 11159;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170412;39764;2024-11-15;8170412;30502;Prueba performance insertar ajuste de recarga 11160;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170413;39765;2024-11-15;8170413;30503;Prueba performance insertar ajuste de recarga 11161;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170414;39766;2024-11-15;8170414;30504;Prueba performance insertar ajuste de recarga 11162;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170415;39763;2024-11-15;8170415;30505;Prueba performance insertar ajuste de recarga 11163;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170416;39763;2024-11-15;8170416;30506;Prueba performance insertar ajuste de recarga 11164;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170417;39764;2024-11-15;8170417;30507;Prueba performance insertar ajuste de recarga 11165;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170418;39765;2024-11-15;8170418;30508;Prueba performance insertar ajuste de recarga 11166;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170419;39766;2024-11-15;8170419;30509;Prueba performance insertar ajuste de recarga 11167;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170420;39763;2024-11-15;8170420;30510;Prueba performance insertar ajuste de recarga 11168;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170421;39763;2024-11-15;8170421;30511;Prueba performance insertar ajuste de recarga 11169;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170422;39764;2024-11-15;8170422;30512;Prueba performance insertar ajuste de recarga 11170;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170423;39765;2024-11-15;8170423;30513;Prueba performance insertar ajuste de recarga 11171;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170424;39766;2024-11-15;8170424;30514;Prueba performance insertar ajuste de recarga 11172;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170425;39763;2024-11-15;8170425;30515;Prueba performance insertar ajuste de recarga 11173;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170426;39763;2024-11-15;8170426;30516;Prueba performance insertar ajuste de recarga 11174;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170427;39764;2024-11-15;8170427;30517;Prueba performance insertar ajuste de recarga 11175;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170428;39765;2024-11-15;8170428;30518;Prueba performance insertar ajuste de recarga 11176;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170429;39766;2024-11-15;8170429;30519;Prueba performance insertar ajuste de recarga 11177;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170430;39763;2024-11-15;8170430;30520;Prueba performance insertar ajuste de recarga 11178;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170431;39763;2024-11-15;8170431;30521;Prueba performance insertar ajuste de recarga 11179;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170432;39764;2024-11-15;8170432;30522;Prueba performance insertar ajuste de recarga 11180;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170433;39765;2024-11-15;8170433;30523;Prueba performance insertar ajuste de recarga 11181;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170434;39766;2024-11-15;8170434;30524;Prueba performance insertar ajuste de recarga 11182;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170435;39763;2024-11-15;8170435;30525;Prueba performance insertar ajuste de recarga 11183;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
8170436;39763;2024-11-15;8170436;30526;Prueba performance insertar ajuste de recarga 11184;2;0;1;null;21;2024-11-15;null;null;null;null;null;300;159
